BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,NTA2020,CDTA2020,n_total,n_classified_positive,n_tp,n_fp,n_tn,n_fn,total_not_annotated,positives_not_annotated,negatives_not_annotated,p_y,p_y_CI_lower,p_y_CI_upper,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,empirical_estimate,at_least_one_positive_image_by_area_if_you_have_100_images,at_least_one_positive_image_by_area_if_you_have_100_images_CI_lower,at_least_one_positive_image_by_area_if_you_have_100_images_CI_upper,n_images_by_area,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_2_area,dep_moderate_1_frac,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Manhattan,1000100,The Battery-Governors Island-Ellis Island-Liberty Island,MN01 Financial District-Tribeca (CD 1 Equivalent),4121,MN0191,MN01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043568790553381,0.0003148296274141,0.0193285673591275,0.0,0.0,0.0,,0.2884669879274789,0.0309973377346738,0.8579790441454938,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0.0,19.0,8.153328995879418,1844263.2242490845,0.0,0.0,0.0,0.0,0.0,36061000100,0,0,0,0,0
Manhattan,1000201,Chinatown-Two Bridges,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0301,MN03,320.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,320.0,0.0027467497378942,0.000933028284085,0.0063289533278935,0.5485677376135587,0.2582243382840037,0.8688877088994826,0.0,0.2332836688997742,0.0891220666074754,0.4700150165506068,320,2666,238,216,1747,400,726,740,45582,324,120,130,155,0.0,37.0,10.417680668712306,1887579.0161128014,0.0,0.0,0.0,0.0,0.0,36061000201,0,0,0,0,0
Manhattan,1000600,Chinatown-Two Bridges,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0301,MN03,845.0,2.0,1.0,0.0,1.0,0.0,843.0,1.0,843.0,0.0034907615514395,0.0012801657067633,0.0076212821732253,1.0,1.0,1.0,0.0023668639053254,1.0,1.0,1.0,845,10751,859,654,3301,5567,3792,3773,25655,2074,1559,268,1777,0.0,41.0,10.160654182384963,4429416.579847005,0.0,22123.78480200249,6619.532227970874,0.004994740143128886,0.0014944478823889528,36061000600,0,1,0,0,0
Manhattan,1001401,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,182.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,182.0,0.0024935487018976,0.0009539371888855,0.00533116267132,0.3522237277470165,0.1594504969547416,0.6220023019057525,0.0,0.2160039100662545,0.0910264177454846,0.4140626478980262,182,3165,2224,85,314,251,1300,1287,89873,310,867,863,111,24.0,43.0,34.84716287389446,1006116.8753926617,0.0,0.0,0.0,0.0,0.0,36061001401,1,0,0,0,0
Manhattan,1001402,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,771.0,0.0,0.0,0.0,1.0,0.0,770.0,0.0,771.0,0.0021842026990334,0.0007525383107476,0.0050087103608555,0.7585962169129965,0.4403397977433833,0.9791712120033232,0.0,0.191670892760346,0.0725182497575845,0.3947596331871589,771,3286,881,250,860,1099,1335,1452,46615,550,896,300,545,13.0,42.0,27.553037097431716,1226206.686963836,0.0,3811.625690830726,3627.5564767287833,0.0031084691768143496,0.002958356462490707,36061001402,0,0,0,0,0
Manhattan,1001800,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,1813.0,0.0,0.0,0.0,1.0,0.0,1812.0,0.0,1813.0,0.0020451316167621,0.0008109171950812,0.0043110391369534,0.9435738434973122,0.7702559232765278,0.9996034902322846,0.0,0.1818435052972032,0.0779212220640545,0.3508138944334763,1813,6948,2137,405,1057,3148,2521,2647,74485,673,2212,502,555,8.0,45.0,36.39463920963775,2399277.8159546778,0.0,0.0,0.0,0.0,0.0,36061001800,0,0,0,0,0
Manhattan,1002201,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,483.0,2.0,0.0,1.0,0.0,0.0,482.0,1.0,481.0,0.0022794176675699,0.000869906189614,0.0049446529368286,0.6300623776963917,0.3431814954232674,0.9087535764822868,0.0041407867494824,0.1997326278308171,0.0833490088968362,0.3908506590769341,483,6748,1967,1306,2478,880,2054,2656,35700,1397,1007,700,413,9.0,28.0,17.288703650474275,1740174.6175055085,0.0,14976.611075081668,1923.4295270649845,0.008606384051590305,0.001105308345332704,36061002201,1,0,0,0,0
Manhattan,1002601,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,169.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,169.0,0.0021531297584617,0.0007855558963136,0.0047940105710285,0.2952215978317788,0.1243695331907231,0.5560911542554736,0.0,0.1897073412885216,0.0755778697109792,0.3815592387525436,169,4592,998,710,1984,758,1570,1793,35625,829,658,389,190,2.0,20.0,12.165177006659656,1141217.8947532326,0.0,13959.496930462832,560.0100736182885,0.012232104836983228,0.0004907126642448771,36061002601,1,0,0,0,0
Manhattan,1002602,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,118.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,118.0,0.0021820747656949,0.0007575902857768,0.0049527490573436,0.2209736383776144,0.0855472988403396,0.4433821934978187,0.0,0.191530314793475,0.0729870467673388,0.3913460848585281,118,3632,2086,196,724,392,1620,1633,71907,361,931,897,65,2.0,15.0,8.42780269058296,1114857.6124261229,0.0,85282.79668330007,34802.59582460589,0.07649658192467283,0.031217076904439322,36061002602,0,0,0,0,0
Manhattan,1002800,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,308.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,308.0,0.0020956762337933,0.0007356321960158,0.0047375810199088,0.4517446298873979,0.2028066999995072,0.7683765736993329,0.0,0.1850168346713372,0.070947742695222,0.3780427339192065,308,6364,1893,300,2245,1357,2499,2748,52305,757,1732,917,518,2.0,18.0,8.193808269152818,1973679.1822358924,0.0,108231.6791201448,22567.207678102935,0.054837523795297875,0.011434081020471403,36061002800,0,0,0,0,0
