BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,NTA2020,CDTA2020,n_total,n_classified_positive,n_tp,n_fp,n_tn,n_fn,total_not_annotated,positives_not_annotated,negatives_not_annotated,p_y,p_y_CI_lower,p_y_CI_upper,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_2_area,dep_moderate_1_frac,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,manhole_overflow_311c,catch_basin_clogged/flooding_311c,highway_flooding_311c
Manhattan,1000100,The Battery-Governors Island-Ellis Island-Liberty Island,MN01 Financial District-Tribeca (CD 1 Equivalent),4121,MN0191,MN01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0506780812599436,2.389493925287953e-299,0.9999996060601624,0.0,0.0,0.0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0.0,19.0,8.153328995879418,1842849.938057303,0.0,0.0,0.0,0.0,0.0,36061000100,0,0,0,0,0
Manhattan,1000201,Chinatown-Two Bridges,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0301,MN03,320.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,320.0,0.002823705456876,2.248540272243652e-05,0.0163097987476403,0.3753098959969783,0.0071695847208489,0.9948158998765658,2666,238,216,1747,400,726,740,45582,324,120,130,155,0.0,37.0,10.417680668712306,972315.8817242811,0.0,0.0,0.0,0.0,0.0,36061000201,0,0,0,0,0
Manhattan,1000600,Chinatown-Two Bridges,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0301,MN03,845.0,2.0,1.0,0.0,1.0,0.0,843.0,1.0,843.0,0.0103915722908877,0.0009770208975759,0.0327563568355891,1.0,1.0,1.0,10751,859,654,3301,5567,3792,3773,25655,2074,1559,268,1777,0.0,41.0,10.160654182384963,2582715.083889434,0.0,22125.72530234964,6619.532227970874,0.008566847129350968,0.0025630129584414724,36061000600,0,0,0,0,0
Manhattan,1001401,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,182.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,182.0,0.0013278916538512,2.0600448555364966e-05,0.0079985741331374,0.1615202438755688,0.0037423003265391,0.7681320254986526,3165,2224,85,314,251,1300,1287,89873,310,867,863,111,24.0,43.0,34.84716287389446,1006120.4572099587,0.0,0.0,0.0,0.0,0.0,36061001401,0,0,0,0,0
Manhattan,1001402,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,771.0,0.0,0.0,0.0,1.0,0.0,770.0,0.0,771.0,0.0007344493534453,5.697490499631913e-06,0.004696102874824,0.2805222464527869,0.0043831435166859,0.9734630714880418,3286,881,250,860,1099,1335,1452,46615,550,896,300,545,13.0,42.0,27.55303709743172,1226210.97258408,0.0,3803.485934550729,3611.1886301200584,0.003101820175801704,0.0029449978110291644,36061001402,0,0,0,0,0
Manhattan,1001800,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,1813.0,0.0,0.0,0.0,1.0,0.0,1812.0,0.0,1813.0,0.0004921848364956,1.0000699357487168e-05,0.0025049365140938,0.4028218760260116,0.017967974320115,0.9894025879335518,6948,2137,405,1057,3148,2521,2647,74485,673,2212,502,555,8.0,45.0,36.39463920963775,2399286.0992277204,0.0,0.0,0.0,0.0,0.0,36061001800,0,0,0,0,0
Manhattan,1002201,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,483.0,2.0,0.0,1.0,0.0,0.0,482.0,1.0,481.0,0.0009542297492108,7.409872867065612e-06,0.0064792279483537,0.2270242274551186,0.0035725848436791,0.9567020190554768,6748,1967,1306,2478,880,2054,2656,35700,1397,1007,700,413,9.0,28.0,17.288703650474275,1740180.5935571757,0.0,14947.478207785834,1911.438661147747,0.008589613206311577,0.0010984139624500096,36061002201,0,0,0,0,0
Manhattan,1002601,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,169.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,169.0,0.0007866917648646,3.010096477071992e-06,0.0063463286551286,0.0864255479447675,0.0005085777006006,0.6590252946519859,4592,998,710,1984,758,1570,1793,35625,829,658,389,190,2.0,20.0,12.165177006659656,1141221.93977192,0.0,13995.854614424028,561.6078809865462,0.012263920037518016,0.0004921110096242864,36061002601,0,0,0,0,0
Manhattan,1002602,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,118.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,118.0,0.0008697482825378,3.4341877681288275e-06,0.0053528390398395,0.0699359317147612,0.000405152749451,0.4691781887597504,3632,2086,196,724,392,1620,1633,71907,361,931,897,65,2.0,15.0,8.42780269058296,1114861.4321858324,0.0,85266.9436280385,34817.65258793584,0.07648210007665387,0.031230475449914214,36061002602,0,0,0,0,0
Manhattan,1002800,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,308.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,308.0,0.0006061527866431,3.4850712233550184e-06,0.0038996381051328,0.125273046560512,0.0010728279139475,0.6998370638158138,6364,1893,300,2245,1357,2499,2748,52305,757,1732,917,518,2.0,18.0,8.193808269152818,1973686.1153183845,0.0,108239.00654125283,22550.553107405027,0.05484104372077031,0.011425602547630677,36061002800,0,0,0,0,0
