"unique_key","created_date","closed_date","descriptor","incident_address","street_name","cross_street_1","cross_street_2","borough","latitude","longitude"
"58963531","2023-09-29T23:14:00.000","2023-10-03T15:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","239 BEACH BREEZE PLACE","BEACH BREEZE PLACE","AQUATIC DR","BEACH BREEZE DR","QUEENS","40.58972589939895","-73.8029590612194"
"58963532","2023-09-29T21:56:00.000","2023-09-30T12:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","629 WEST   46 STREET","WEST   46 STREET","11 AVE","PEDESTRIAN OVPS","MANHATTAN","40.76366914470393","-73.99712291005008"
"58955852","2023-09-29T21:11:00.000","2023-10-01T17:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.66035731370145","-73.93520173078407"
"58960455","2023-09-29T21:05:00.000","2023-10-02T10:25:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1402 AVENUE J","AVENUE J","E 14 ST","E 15 ST","BROOKLYN","40.62508787147075","-73.96216394817056"
"58966677","2023-09-29T20:47:00.000","2023-09-30T18:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1522 STADIUM AVENUE","STADIUM AVENUE","GRISWOLD AVE","AMPERE AVE","BRONX","40.84477307951467","-73.82031129687098"
"58960456","2023-09-29T20:41:00.000","2023-10-01T14:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","219 MOSEL AVENUE","MOSEL AVENUE","LEEWOOD LOOP","LEEWOOD LOOP","STATEN ISLAND","40.6101348868364","-74.07956649727524"
"58958958","2023-09-29T19:50:00.000","2023-10-06T08:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","60-01 170 STREET","170 STREET","ST MARYS CEMETERY BNDY","HORACE HARDING EXPY SR N","QUEENS","40.73885427486378","-73.79905382443026"
"58958959","2023-09-29T19:44:00.000","2023-10-02T11:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"QUEENS","40.759761930274834","-73.94081194460627"
"58963483","2023-09-29T19:32:00.000","2023-10-02T12:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"QUEENS","40.68210698128421","-73.84583301582548"
"58961996","2023-09-29T19:23:00.000","2023-09-30T08:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","700 MACON STREET","MACON STREET","RALPH AVE","HOWARD AVE","BROOKLYN","40.68420423813459","-73.92238949874377"
