"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"58965311","2023-09-29T23:53:00.000","2023-09-30T01:40:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11207","339 WYONA STREET","WYONA STREET","BELMONT AVE","SUTTER AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T01:40:00.000","05 BROOKLYN","3037580013","BROOKLYN","1014056","183562","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.670461855689496","-73.89255367003082","
,  
(40.670461855689496, -73.89255367003082)"
"58957633","2023-09-29T23:47:00.000","2023-09-30T12:15:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11364","57-44 229 STREET","229 STREET","57 RD","58 AVE",,,"ADDRESS","OAKLAND GARDENS",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T12:15:00.000","11 QUEENS","4075200042","QUEENS","1053478","213825","ONLINE","Unspecified","QUEENS",,,,,,,,"40.75330575318301","-73.7501324133223","
,  
(40.75330575318301, -73.7501324133223)"
"58966873","2023-09-29T23:38:00.000","2023-09-30T04:40:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11694","109-34 ROCKAWAY BEACH BOULEVARD","ROCKAWAY BEACH BOULEVARD","BEACH 109 ST","BEACH 110 ST",,,"ADDRESS","FAR ROCKAWAY",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T04:40:00.000","14 QUEENS","4161660072","QUEENS","1031120","151166","ONLINE","Unspecified","QUEENS",,,,,,,,"40.58146791395729","-73.83126548969187","
,  
(40.58146791395729, -73.83126548969187)"
"58959205","2023-09-29T23:38:00.000","2023-09-30T00:59:00.000","DEP","Department of Environmental Protection","Sewer","Street Flooding (SJ)",,"11218","11 EAST   10 STREET","EAST   10 STREET","CATON AVE","CHURCH AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.","2023-09-30T00:59:00.000","14 BROOKLYN","3050710069","BROOKLYN","992409","175376","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.648039502907295","-73.97059787328804","
,  
(40.648039502907295, -73.97059787328804)"
"58963762","2023-09-29T23:38:00.000","2023-09-30T13:00:00.000","DEP","Department of Environmental Protection","Sewer","Street Flooding (SJ)",,"11420",,,,,"LEFFERTS BOULEVARD","BELT PARKWAY","INTERSECTION","QUEENS",,,"Closed",,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.","2023-09-30T13:00:00.000","10 QUEENS",,"QUEENS","1033457","181574","PHONE","Unspecified","QUEENS",,,,,,,,"40.66491867378627","-73.82263052827594","
,  
(40.66491867378627, -73.82263052827594)"
"58963685","2023-09-29T23:32:00.000","2023-09-30T00:29:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"10304","311 GORDON STREET","GORDON STREET","LAUREL AVE","OSGOOD AVE",,,"ADDRESS","STATEN ISLAND",,,"Closed",,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.","2023-09-30T00:29:00.000","01 STATEN ISLAND","5005600047","STATEN ISLAND","961037","164923","PHONE","Unspecified","STATEN ISLAND",,,,,,,,"40.6193215849607","-74.08361539597753","
,  
(40.6193215849607, -74.08361539597753)"
"58963686","2023-09-29T23:29:00.000","2023-09-30T11:05:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11101","53-32 37 STREET","37 STREET","STARR AVE","REVIEW AVE",,,"ADDRESS","LONG ISLAND CITY",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T11:05:00.000","02 QUEENS","4003110036","QUEENS","1001860","206747","PHONE","Unspecified","QUEENS",,,,,,,,"40.73413188413781","-73.93645784274568","
,  
(40.73413188413781, -73.93645784274568)"
"58963763","2023-09-29T23:29:00.000","2023-10-02T07:37:00.000","DEP","Department of Environmental Protection","Sewer","Street Flooding (SJ)",,"10306","140 HAVEN AVENUE","HAVEN AVENUE","ADAMS AVE","HUNTER AVE",,,"ADDRESS","STATEN ISLAND",,,"Closed",,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.","2023-10-02T07:37:00.000","02 STATEN ISLAND","5036790020","STATEN ISLAND","956951","150217","PHONE","Unspecified","STATEN ISLAND",,,,,,,,"40.57894496994225","-74.09827410955283","
,  
(40.57894496994225, -74.09827410955283)"
"58963687","2023-09-29T23:26:00.000","2023-09-30T01:10:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11218","11 EAST   10 STREET","EAST   10 STREET","CATON AVE","CHURCH AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T01:10:00.000","14 BROOKLYN","3050710069","BROOKLYN","992409","175376","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.648039502907295","-73.97059787328804","
,  
(40.648039502907295, -73.97059787328804)"
"58959127","2023-09-29T23:20:00.000","2023-09-30T00:51:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11218","1139 PROSPECT AVENUE","PROSPECT AVENUE","11 AVE","TERRACE PL",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.","2023-09-30T00:51:00.000","07 BROOKLYN","3052567501","BROOKLYN","990723","178167","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.655701582866364","-73.97667093717519","
,  
(40.655701582866364, -73.97667093717519)"
