name,deployment_id,slug,mounted_over,latitude,longitude,sensor_address_street,sensor_address_neighborhood,sensor_address_borough,sensor_address_state,sensor_address_zip,date_deployed,sensor_status,date_down
Q - Utopia Pkwy/ 67th Ave,lively_wanted_louse,Q-utopia-pkwy-67th-ave-1lmjc0,sidewalk,40.7345387,-73.7933739,67th Avenue,Utopia,Queens,NY,11365,2023-10-26 00:00:00,good,
BK - Junius St/Sutter Ave,lovely_helped_lamb,BK-junius-st-sutter-ave-1dnf80,sidewalk,40.6687423,-73.9026575,Junius Street,Brownsville,Brooklyn,NY,11212,2023-05-24 00:00:00,good,
Q - 126th St/109th Ave,fluffy-white-penguin,Q-126th-st-109th-ave-21vxbc,sidewalk,40.68397740522016,-73.81594872825937,109th Avenue,South Ozone Park,Queens,NY,11420,2024-09-06 03:38:00,good,
Q - 161st Ave/99th St,lonely_quiet_bear,Q-161st-ave-99th-st-1a5q80,sidewalk,40.6565645,-73.8335049,"99th Street, Hawtree Avenue",Howard Beach,Queens,NY,11414,2023-03-17 00:00:00,good,
BK - Knickerbocker Ave/Palmetto St,generally_enormous_panda,BK-knickerbocker-ave-palmetto-st-1mpi40,sidewalk,40.69629627,-73.91379,Knickerbocker Avenue,Bushwick,Brooklyn,NY,11221,2023-11-16 00:00:00,cert,
SI - McLaughlin St/Agnes Pl,likely-well-thrush,SI-mclaughlin-st-agnes-pl-1aigk0,sidewalk,40.5891322,-74.0726924,McLaughlin Street,South Beach,Staten Island,NY,10305,2023-03-24 00:00:00,good,
BX - Ditmars St/Hunter Ave,lame_wicked_maid,BX-ditmars-st-hunter-ave-1kwrk0,sidewalk,40.849297,-73.789528,Ditmars Street,City Island,Bronx,NY,10464,2023-10-12 00:00:00,good,
BX - Edgewater Rd/Seneca Ave,yearly-hardy-sloth,BX-edgewater-rd-seneca-ave-214yhc,sidewalk,40.819327211645174,-73.88379017356341,Edgewater Road,Hunts Point,Bronx,NY,10474,2024-08-22 14:08:00,good,
BX - Tier St/William Ave,helpful_empty_garden,BX-tier-st-william-ave-1kwuc0,sidewalk,40.848089,-73.789446,Tier Street,City Island,Bronx,NY,10464,2023-10-12 00:00:00,good,
Q - 164 Pl/109th Ave,gladly_pretty_magpie,Q-164-pl-109th-ave-1jtn80,sidewalk,40.695632,-73.7883928,164th Place,South Jamaica,Queens,NY,11433,2023-09-21 00:00:00,good,
BK - Wallabout St/Throop Ave,mean_flying_fish,BK-wallabout-st-throop-ave-19qu40,sidewalk,40.70281185,-73.94676843,Wallabout Street,Williamsburg,Brooklyn,NY,11206,2023-03-09 00:00:00,good,
M - Broadway/W 157th St,truly_chief_deer,M-w-157th-ave-broadway-1vr9w0,sidewalk,40.834239,-73.945121,West 157th Street,Washington Heights,Manhattan,NY,10032,2024-05-10 00:00:00,dead,
BX - Louis Niñé Bl/Southern Bl,mainly_whole_slug,BX-louis-niñé-bl-southern-bl-0pmu80,sidewalk,40.83097204,-73.89224038,"Louis Nine Boulevard, Wilkins Avenue",Longwood,Bronx,NY,10459,2022-02-11 00:00:00,signal,
Q - 253rd St/ 147 Drive,humbly_modest_vervet,Q-253rd-st-147-drive-1edno0,sidewalk,40.6558064,-73.736616,253rd Street,Rosedale,Queens,NY,11422,2023-06-07 00:00:00,retired,2023-06-22 00:00:00
BK - 35th St/3rd Ave,poorly_set_cougar,BK-35th-st-3rd-ave-20cdbc,sidewalk,40.65560565057419,-74.00496686951207,35th Street,Windsor Terrace,Brooklyn,NY,11232,2024-08-07 03:38:00,good,
Q - Hawtree Basin ,rarely_icky_armadillo,Q-hawtree-basin-1re3k0,basin,40.654466,-73.831991,Russell Street,Howard Beach,Queens,NY,11414,2024-02-15 00:00:00,good,
BK - 45th St/5th Ave,daily_expert_whale,BK-5th-ave-45th-st-1umrk0,sidewalk,40.64841693569066,-74.00833294990272,45th Street,Sunset Park,Brooklyn,NY,11220,2024-04-18 00:00:00,noisy,
Q - 150th St/41st Ave,mainly_moving_emu,Q-41st-ave-150th-st-1vcm40,sidewalk,40.76258427,-73.81415848,41st Avenue,Murray Hill,Queens,NY,11355,2024-05-02 00:00:00,dead,
M - Mangin St/Stanton St,likely_prompt_gibbon,M-stanton-st-mangin-st-1vri80,sidewalk,40.717847,-73.976228,"Stanton Street, A New Street",Lower East Side,Manhattan,NY,10002,2024-05-10 00:00:00,dead,
Q - 63rd St/Laurel Hill Blvd,only_set_calf,Q-63rd-st-laurel-hill-blvd-214qc0,sidewalk,40.73824556701692,-73.90277558217036,63rd Street,Woodside,Queens,NY,11377,2024-08-22 11:12:00,good,
M - Waverly Pl/6th Av,simply_pet_joey,M-waverly-pl-6th-av-0mg3o0,sidewalk,40.7329861,-74.0003358,Waverly Place,West Village,Manhattan,NY,10011,2021-12-11 00:00:00,dead,
M - Dyckman St/Payson Ave,really_brief_stork,M-dyckman-st-payson-ave-1yht40,sidewalk,40.866835,-73.9289721,"Dyckman Street, West 200th Street",Inwood,Manhattan,NY,10034,2024-07-02 15:05:00,dead,
BK - Winthrop St/ E 94th St,slowly_key_husky,BK-winthrop-st-e-94th-st-1dnt40,sidewalk,40.6611728,-73.9245166,Winthrop Street,Wingate,Brooklyn,NY,11212,2023-05-24 00:00:00,dead,2024-04-26 12:00:00
BX - Sheridan Bl/173rd St,slowly_fast_sawfly,BX-sheridan-bl-173rd-st-0pmx00,sidewalk,40.83360124,-73.88327326,"Sheridan Boulevard, New York-895, State Route 895, Sheridan Expressway North, New York State Route 895",West Farms,Bronx,NY,10459,2022-02-11 00:00:00,good,
