,GEOID,min,max,mean,count
0,36061000100,0.0,19.0,8.159522517634292,18430
1,36061000201,5.0,37.0,20.218062127134335,9722
2,36061000600,0.0,41.0,17.410587050805454,25824
3,36061001401,24.0,43.0,34.84716287389446,10063
4,36061001402,13.0,42.0,27.553037097431716,12265
5,36061001800,8.0,45.0,36.39463920963775,23989
6,36061002201,9.0,28.0,17.288703650474275,17395
7,36061002601,2.0,20.0,12.165177006659656,11412
8,36061002602,2.0,15.0,8.42780269058296,11150
9,36061002800,2.0,18.0,8.193808269152818,19736
10,36061003100,8.0,47.0,26.14706415367887,22072
11,36061003200,7.0,32.0,18.9992720733065,23354
12,36061003300,0.0,37.0,13.710813896591095,36786
13,36061003400,5.0,26.0,15.452301961469065,17181
14,36061003601,30.0,47.0,39.950942350332596,10824
15,36061003602,24.0,46.0,37.45508483397523,9607
16,36061003700,0.0,27.0,12.852869041548287,41181
17,36061003900,0.0,20.0,10.564422161223462,35702
18,36061004001,16.0,33.0,24.203757661006733,9953
19,36061004002,21.0,41.0,31.463864464936737,9326
20,36061004100,14.0,47.0,31.1866893368958,20585
21,36061004300,18.0,51.0,39.55176280054815,16054
22,36061004500,6.0,39.0,21.153771246458923,11296
23,36061005200,30.0,50.0,39.686312310658224,18155
24,36061005400,24.0,42.0,32.83816945780136,18093
25,36061005501,15.0,42.0,33.29961147638972,13384
26,36061005502,25.0,48.0,41.444542749135366,12433
27,36061005800,27.0,46.0,37.29870751555768,18801
28,36061006300,10.0,36.0,23.699025076899016,19181
29,36061006500,0.0,36.0,22.750334517602546,21673
30,36061006700,1.0,24.0,15.724594505130751,18126
31,36061006800,14.0,42.0,28.9535626797316,18778
32,36061007001,7.0,38.0,23.187487073422957,9670
33,36061007002,12.0,40.0,26.711691621535522,9417
34,36061007100,8.0,31.0,21.390485852778717,17742
35,36061007200,16.0,70.0,35.12962864297512,18769
36,36061007300,12.0,29.0,22.32799145299145,17784
37,36061007600,35.0,62.0,44.71476617552851,18732
38,36061007700,8.0,31.0,20.68184414101033,19261
39,36061007800,0.0,39.0,20.486719648645824,19126
40,36061008000,26.0,79.0,51.61390086206897,18560
41,36061008100,11.0,33.0,24.644007251013008,18756
42,36061008200,51.0,82.0,73.11784983302812,18566
43,36061008300,3.0,23.0,14.358599338101847,18734
44,36061008400,46.0,84.0,64.6017285806313,18628
45,36061008700,14.0,36.0,24.892508143322477,17806
46,36061008900,4.0,23.0,14.223537331014754,17827
47,36061009100,17.0,41.0,28.48629852605356,19268
48,36061009200,26.0,78.0,48.78725513334907,21185
49,36061009300,4.0,27.0,16.054726368159205,19296
50,36061009400,53.0,72.0,60.921287579714544,16465
51,36061009500,19.0,44.0,32.280691331352955,18515
52,36061009600,9.0,72.0,62.10295130609866,18873
53,36061009700,10.0,41.0,23.37297704177644,18599
54,36061009902,0.0,19.0,9.348742216687421,20075
55,36061010000,26.0,62.0,42.85987740617271,18598
56,36061010100,4.0,47.0,36.448667794459716,18916
57,36061010200,38.0,80.0,59.75403052450559,18608
58,36061010400,51.0,74.0,64.00959888459889,18648
59,36061010801,24.0,53.0,40.04899135446686,7634
60,36061010802,44.0,77.0,54.12918892666343,6177
61,36061010803,38.0,66.0,50.15440041173443,5829
62,36061010900,20.0,59.0,41.45172887807973,18914
