"Unnamed: 0","annotation_id","annotator","choice","created_at","id","image","labels","lead_time","q1","q2","response_1","response_2","sentiment_1","sentiment_2","updated_at"
111776,21111,"1","Flooded road","2024-07-13T02:46:53.608013Z",0,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0321cea2aba1e0031aad262982fd6bee.jpg","",0.983,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for drivers and can lead to dangerous driving conditions.","Yes, the street is flooded, as evidenced by the water level reaching the wheels of the cars and the reflections on the wet road surface.",1,1,"2024-07-13T02:46:53.608034Z"
88409,20980,"1","Flooded road","2024-07-13T02:34:51.347301Z",1,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9349f44a4398d9e694685945158ff79d.jpg","",6.699,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water level reaching the wheels of the vehicles and the splashes of water on the windshield of the car from which the photo is taken.",1,1,"2024-07-13T02:34:51.347324Z"
53272,20837,"1","Drivable road","2024-07-13T02:18:17.293652Z",2,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_3b21011a96dca4ac5579c558230f1fa8.jpg","",0.92,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The road surface is wet, likely from recent rain, but there are no visible signs of standing water that would indicate flooding.",0,0,"2024-07-13T02:18:17.293672Z"
84425,21053,"1","Flooded road","2024-07-13T02:41:51.449790Z",3,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_2a5121429509607e63c76bcdb9aa3f27.jpg","",1.916,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the submerged vehicle and the depth of the water reaching the wheels.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers, indicating a response to the flooding.",1,1,"2024-07-13T02:41:51.449810Z"
10565,20824,"1","Flooded road","2024-07-13T02:16:47.820224Z",4,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_877f4b3f318c142ed74aca3a7e364966.jpg","",1.987,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is causing significant disruption to traffic flow.","Yes, the street is flooded, as evidenced by the water flowing across the road and the splashes around the vehicles.",1,1,"2024-07-13T02:16:47.820246Z"
131215,20558,"1","Drivable road","2024-07-13T01:17:32.514446Z",5,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_88bbfe9631ce6eda6b06e516de30d11b.jpg","",1.399,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","The street in the image does not appear to be flooded. The water on the road is likely due to recent rainfall, and there are no signs of standing water that would indicate flooding.",0,0,"2024-07-13T01:17:32.514467Z"
102718,21205,"1","Drivable road","2024-07-13T02:54:53.784908Z",6,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f826a0eaa780795acc01baefa076f8cd.jpg","",3.022,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","Yes, the street appears to be flooded, as evidenced by the water level reaching the wheels of the vehicles and the reflective sheen on the road surface.",0,1,"2024-07-13T02:54:53.784929Z"
86747,20941,"1","Drivable road","2024-07-13T02:26:49.426616Z",7,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_d26d502d1603a9d661813ebc7156b610.jpg","",1.095,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The water on the road is likely due to recent rainfall, and there are no signs of standing water that would indicate flooding.",0,0,"2024-07-13T02:26:49.426637Z"
142076,20269,"1","Drivable road","2024-07-13T00:52:20.882631Z",8,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_2ede224b1bee606a150a4a00562b8d89.jpg","",1.22,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street is not flooded. The water on the road appears to be from recent rainfall, and there are no signs of standing water that would indicate flooding.",0,0,"2024-07-13T00:52:20.882652Z"
70206,21024,"1","Flooded road","2024-07-13T02:40:15.298378Z",9,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_809544fd7fc4611b1b8c4aa5e9c37543.jpg","",0.944,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water covering the streets, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the surface.",1,1,"2024-07-13T02:40:15.298398Z"
