"annotation_id","annotator","choice","created_at","id","image","labels","lead_time","q1","q2","response_1","response_2","sentiment_1","sentiment_2","updated_at"
21578,"1","Flooded road","2024-07-13T03:22:33.359145Z",0,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_484bb12d01b3849115ceedf74dd7c67c.jpg","",4.32,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the surface.",1,1,"2024-07-13T03:22:33.359165Z"
21745,"1","Flooded road","2024-07-13T03:30:41.273445Z",1,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_4d69b6873e72cf2c8d04ad720ffdda36.jpg","",3.106,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the reflections on the surface.","Yes, the street in the image appears to be flooded, as evidenced by the reflections of lights on the wet surface and the presence of water on the road.",1,1,"2024-07-13T03:30:41.273465Z"
22650,"1","Drivable road","2024-07-13T04:04:09.034908Z",2,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_41146337215824cd7c3e7d40c9a72835.jpg","",0.783,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles driving through it.",1,1,"2024-07-13T04:04:09.034932Z"
21336,"1","Drivable road","2024-07-13T03:13:10.313773Z",3,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_d8c8203e575842fc2a58aaac2c0a40ab.jpg","",1.247,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers indicating a closed-off area.",1,1,"2024-07-13T03:13:10.313794Z"
21381,"1","Drivable road","2024-07-13T03:15:58.865699Z",4,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_2cc979d9bd4841a337e8b37815c02d0e.jpg","",1.7,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image is not flooded. The road appears to be dry, and there are no visible signs of water accumulation on the pavement.",0,0,"2024-07-13T03:15:58.865719Z"
22704,"1","Drivable road","2024-07-13T04:06:39.640894Z",5,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_e0b63a5b14f46372ba821e7335481325.jpg","",0.863,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The water on the road is likely due to recent rainfall, and there are no signs of standing water that would indicate flooding.",0,0,"2024-07-13T04:06:39.640915Z"
21879,"1","Drivable road","2024-07-13T03:35:42.186867Z",6,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c160907c3b81a1887cedf86fb92cbdce.jpg","",1.153,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, which is evident from the depth of the water reaching the wheels of the vehicles and the reflections on the wet pavement.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the reflections on the vehicles.",1,1,"2024-07-13T03:35:42.186888Z"
21587,"1","Flooded road","2024-07-13T03:23:12.386250Z",7,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0693fed24313a2132ffdfae7b91fcd79.jpg","",0.922,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows a significant amount of standing water, likely more than a foot, covering the road and surrounding areas. This level of water accumulation can pose significant risks to vehicles and pedestrians, including the potential for flooding and damage to property.","Yes, the street in the image is flooded. The water level is high enough to cover the road, and the yellow warning sign indicates that drivers should be cautious due to the flooding conditions.",1,1,"2024-07-13T03:23:12.386269Z"
21533,"1","Flooded road","2024-07-13T03:21:09.871409Z",8,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_4cadb717162a36ab76a44343c4993457.jpg","",16.897,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles partially submerged.",1,1,"2024-07-13T03:21:09.871429Z"
22489,"1","Drivable road","2024-07-13T03:57:39.050767Z",9,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_5568ccdf7dacfa70622c622dd4a8c443.jpg","",7.255,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image appears to be flooded, as evidenced by the water covering the road and the presence of vehicles that seem to be navigating through it.",1,1,"2024-07-13T03:57:39.050786Z"
