,image_path,q1,q2,response_1,response_2,Unnamed: 0.1,sentiment_1,sentiment_2,frame_id,,frame_url,camera_heading,captured_at,timezone_offset,h3_index_res12,thumbnail_url,direction,frame_quality,frame_context,gps_info.longitude,gps_info.latitude,osm_info.osm_node_id_from,osm_info.osm_node_id_to,osm_info.road_type,h3_12,h3_index_res06,geometry,choice,pred,tp,fp,tn,fn
2443,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_4d5dfbe711c43afc07173eec972c1c10.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the visible puddles.",,1,1,nlbx_4d5dfbe711c43afc07173eec972c1c10,14110,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/d69c6/fod_09FBFAF5-22A4-4DB8-BCB5-2B2602127704.jpg,144.25,1696004702280,-14400,631243919648957439,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/d69c6/fod_09FBFAF5-22A4-4DB8-BCB5-2B2602127704.jpg,SOUTH_EAST,0.722610354423523,DAYLIGHT,-73.825601,40.820467,6582032332,42731904,TERTIARY,6.312439196489574e+17,604222321930010623,POINT (1032520.1013304624 238243.705797049),1.0,1.0,1.0,0.0,0.0,0.0
4371,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c12f2d4cd51208d0426f5681d5950a3b.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of vehicles navigating through it.",,1,1,nlbx_c12f2d4cd51208d0426f5681d5950a3b,123655,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/b64ec/fod_4CFA3CA9-2811-48AC-AD16-63E4B740BA70.jpg,303.7290344238281,1695995833171,-14400,631243922691412991,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/b64ec/fod_4CFA3CA9-2811-48AC-AD16-63E4B740BA70.jpg,NORTH_WEST,0.6504994630813599,DAYLIGHT,-73.975434,40.737246,7137281967,9832349994,RESIDENTIAL,6.31243922691413e+17,604222325017018367,POINT (991057.8210953933 207876.35616136572),1.0,1.0,1.0,0.0,0.0,0.0
5654,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0e070b9c580245957f3e2b4a2f0d8f0a.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water level reaching the wheels of the vehicles and the presence of a bus partially submerged in water.",,1,1,nlbx_0e070b9c580245957f3e2b4a2f0d8f0a,1127,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/f08ff/fod_73C5048D-379E-4A68-A79D-77DDAB6FC13F.jpg,15.6015625,1696019130049,-14400,631243934259834367,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/f08ff/fod_73C5048D-379E-4A68-A79D-77DDAB6FC13F.jpg,NORTH,0.7506408095359802,DAYLIGHT,-73.760101,40.608862,5155726740,8236301592,RESIDENTIAL,6.312439342598344e+17,604222336559742975,POINT (1050860.3419909447 161192.726382645),1.0,1.0,1.0,0.0,0.0,0.0
6379,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_35584f71d0bb189e686bd7f23f807574.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the road, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the cars.","Yes, the street in the image is flooded, with water covering the road and reaching the wheels of the cars.",,1,1,nlbx_35584f71d0bb189e686bd7f23f807574,11042,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/498e7/fod_79F8D75C-F838-4BB8-AF5B-C44C3C48FFAF.jpg,120.75,1695993877649,-14400,631243951181539327,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/498e7/fod_79F8D75C-F838-4BB8-AF5B-C44C3C48FFAF.jpg,SOUTH_EAST,0.8388667106628418,DAYLIGHT,-73.990957,40.676505,10046355198,7410184360,RESIDENTIAL,6.312439511815393e+17,604222353471176703,POINT (986758.3101851192 185745.70775657528),1.0,1.0,1.0,0.0,0.0,0.0
7191,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_5afcba79bb1f830ba653d7f6855ecb59.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"No, the image does not show more than a foot of standing water.","Yes, the street appears to be flooded, as evidenced by the water level reaching the tires of the vehicles and the splashes of water being kicked up by the tires.",,0,1,nlbx_5afcba79bb1f830ba653d7f6855ecb59,12384,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/69199/fod_A2076B68-061C-4D31-9E1C-562F287792A6.jpg,211.38958616715533,1695994915564,-14400,631243920687696895,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/69199/fod_A2076B68-061C-4D31-9E1C-562F287792A6.jpg,SOUTH_WEST,0.8520433306694031,DAYLIGHT,-73.739166,40.667595,462788188,462788191,MOTORWAY,6.312439206876969e+17,604222323003752447,POINT (1056609.4004995984 182607.28337923792),1.0,0.0,0.0,0.0,0.0,1.0
10528,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_520c5fcb760facc819409dd3593e9759.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water covering the road and the presence of a fire hydrant partially submerged.",,1,1,nlbx_520c5fcb760facc819409dd3593e9759,24110,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/f6300/fod_1DC79C97-969D-4CBC-9F82-CF126DF2690E.jpg,171.50845336914062,1695990767727,-14400,631243950375764991,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/f6300/fod_1DC79C97-969D-4CBC-9F82-CF126DF2690E.jpg,SOUTH,0.9552258253097534,DAYLIGHT,-73.970306,40.621872,6908907637,9928488442,RESIDENTIAL,6.31243950375765e+17,604222352665870335,POINT (992493.2444340965 165842.64608785853),1.0,1.0,1.0,0.0,0.0,0.0
12564,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0bb0a5cf4292aff14aade0565d68c765.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the fact that the water level is higher than the pedestrian's legs.","Yes, the street in the image is flooded, with water covering the road and vehicles partially submerged.",,1,1,nlbx_0bb0a5cf4292aff14aade0565d68c765,9633,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/bccff/fod_8D6415D3-4DC2-4319-8C04-7A2651043994.jpg,233.01094839415515,1695997886750,-14400,631243950338216959,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/bccff/fod_8D6415D3-4DC2-4319-8C04-7A2651043994.jpg,SOUTH_WEST,0.8147627115249634,DAYLIGHT,-73.999561,40.596528,42469053,598784403,MOTORWAY_LINK,6.31243950338217e+17,604222352665870335,POINT (984371.9402097652 156607.73268332635),1.0,1.0,1.0,0.0,0.0,0.0
14993,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bcabb35e87b41618849c68a858266e25.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for drivers and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the splashes from the vehicles.",,1,1,nlbx_bcabb35e87b41618849c68a858266e25,65,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/5633e/fod_171BA045-232B-40F1-91D5-856993472FBE.jpg,260.7584199431577,1696011361126,-14400,631243919347344383,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/5633e/fod_171BA045-232B-40F1-91D5-856993472FBE.jpg,WEST,0.7833135724067688,DAYLIGHT,-73.786841,40.789357,3789751265,42798329,MOTORWAY,6.312439193473444e+17,604222321661575167,POINT (1043275.6688446507 226933.03680560424),1.0,1.0,1.0,0.0,0.0,0.0
15631,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_25f99bf1d3a8dd095d1dbff485c3c5b9.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a stop sign partially submerged.",,1,1,nlbx_25f99bf1d3a8dd095d1dbff485c3c5b9,17308,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/bd2bd/fod_B2233776-58B6-48C6-A85B-717A93951100.jpg,349.7180571994332,1695990897632,-14400,631243922596697599,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/bd2bd/fod_B2233776-58B6-48C6-A85B-717A93951100.jpg,NORTH,0.9156314730644226,DAYLIGHT,-73.835235,40.671601,2791759926,7877025834,UNCLASSIFIED,6.312439225966976e+17,604222324882800639,POINT (1029955.6606083815 184001.9853643384),1.0,1.0,1.0,0.0,0.0,0.0
17510,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6d7c9d395c4dcf0c48d02a50ea40daea.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers, indicating that the area is likely closed to vehicles.",,1,1,nlbx_6d7c9d395c4dcf0c48d02a50ea40daea,16381,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/ded31/fod_BABDF64E-5678-4935-A82E-99BA47BA71FD.jpg,208.25,1696010128445,-14400,631243949843023359,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/ded31/fod_BABDF64E-5678-4935-A82E-99BA47BA71FD.jpg,SOUTH_WEST,0.7949714064598083,DAYLIGHT,-74.002217,40.760936,4215936934,8666573689,TRUNK,6.312439498430234e+17,604222352128999423,POINT (983635.7527061444 216506.42570799572),1.0,1.0,1.0,0.0,0.0,0.0
