,image_path,q1,q2,response_1,response_2,Unnamed: 0.1,sentiment_1,sentiment_2,frame_id,,frame_url,camera_heading,captured_at,timezone_offset,h3_index_res12,thumbnail_url,direction,frame_quality,frame_context,gps_info.longitude,gps_info.latitude,osm_info.osm_node_id_from,osm_info.osm_node_id_to,osm_info.road_type,h3_12,h3_index_res06,geometry
1783,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_32163351df0337c7a47fe8d99fc62937.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the surface.",,1,1,nlbx_32163351df0337c7a47fe8d99fc62937,20347,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/6d48f/fod_751563A7-6115-4CFD-B211-9A194B337A46.jpg,81.66609954833984,1695996060159,-14400,631243950347380223,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/6d48f/fod_751563A7-6115-4CFD-B211-9A194B337A46.jpg,EAST,0.8019535541534424,DAYLIGHT,-73.995713,40.577738,3546004694,9900054574,SECONDARY,6.312439503473802e+17,604222352665870335,POINT (985440.9214064039 149762.08103325835)
1932,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6a7cca241aa3bb5df41c6ac5938282da.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the road, which is a significant depth that can pose significant risks to vehicles and pedestrians.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the surface.",,1,1,nlbx_6a7cca241aa3bb5df41c6ac5938282da,1837,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/3a901/fod_BB082A34-D15B-4C32-BEC8-204C4C4ECECD.jpg,267.28312260464645,1695993234208,-14400,631243934234514431,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/3a901/fod_BB082A34-D15B-4C32-BEC8-204C4C4ECECD.jpg,WEST,0.9929223656654358,DAYLIGHT,-73.796369,40.597007,42808277,9935661863,RESIDENTIAL,6.312439342345144e+17,604222336559742975,POINT (1040800.2370100679 156848.13248129628)
2443,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_4d5dfbe711c43afc07173eec972c1c10.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the visible puddles.",,1,1,nlbx_4d5dfbe711c43afc07173eec972c1c10,14110,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/d69c6/fod_09FBFAF5-22A4-4DB8-BCB5-2B2602127704.jpg,144.25,1696004702280,-14400,631243919648957439,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/d69c6/fod_09FBFAF5-22A4-4DB8-BCB5-2B2602127704.jpg,SOUTH_EAST,0.722610354423523,DAYLIGHT,-73.825601,40.820467,6582032332,42731904,TERTIARY,6.312439196489574e+17,604222321930010623,POINT (1032520.1013304624 238243.705797049)
3091,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_29f2bde790a6f194778c67fdb68ec370.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the splashes of water against the car's windshield.","Yes, the street is flooded, as evidenced by the water splashing onto the windshield of the vehicle from which the photo was taken.",,1,1,nlbx_29f2bde790a6f194778c67fdb68ec370,2853,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/54825/fod_7967BEEE-7D67-47B5-8042-293E9B35BEF7.jpg,32.71875,1695990807031,-14400,631243922735905791,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/54825/fod_7967BEEE-7D67-47B5-8042-293E9B35BEF7.jpg,NORTH_EAST,0.6120391488075256,DAYLIGHT,-73.940711,40.742774,10081023551,10081023548,UNCLASSIFIED,6.312439227359058e+17,604222325017018367,POINT (1000679.1173429337 209895.00547961093)
4144,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_680ba3f00419a7ac6ab76773f1d2b7f7.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the car and the splashes caused by the vehicle's movement.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the splashes around the vehicles, indicating recent or ongoing rainfall.",,1,1,nlbx_680ba3f00419a7ac6ab76773f1d2b7f7,123085,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/1b61d/fod_9A78D971-C296-46FB-A46D-8E3DBA185EFC.jpg,268.6076965332031,1695997371962,-14400,631243922717202943,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/1b61d/fod_9A78D971-C296-46FB-A46D-8E3DBA185EFC.jpg,WEST,0.8430954217910767,DAYLIGHT,-73.940577,40.750887,3785669468,3785669469,TRUNK_LINK,6.31243922717203e+17,604222325017018367,POINT (1000714.240068284 212850.85952605633)
4233,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_95fc2ab453c3eff0abfdefb0bade388f.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the significant reflections on the road surface.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers indicating a hazardous driving condition.",,1,1,nlbx_95fc2ab453c3eff0abfdefb0bade388f,21852,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/b999a/fod_57B144F3-29E8-4293-8AAA-E7E39F147A72.jpg,81.14717102050781,1696012731270,-14400,631243919454214655,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/b999a/fod_57B144F3-29E8-4293-8AAA-E7E39F147A72.jpg,EAST,0.8213115930557251,DAYLIGHT,-73.829749,40.856156,42722585,42782602,TRUNK,6.312439194542147e+17,604222321795792895,POINT (1031346.7399796648 251244.23327367226)
4337,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9dddf4da5f8326e6909a52d4ef9c09a7.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a barricade to prevent vehicles from passing through.",,1,1,nlbx_9dddf4da5f8326e6909a52d4ef9c09a7,1705,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/fe469/fod_73C1DC60-EFE0-4A63-8BE1-4C388DE529C6.jpg,132.625,1695994981518,-14400,631243950303124479,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/fe469/fod_73C1DC60-EFE0-4A63-8BE1-4C388DE529C6.jpg,SOUTH_EAST,0.9592759013175964,DAYLIGHT,-73.990072,40.585247,598784350,4568892888,SECONDARY,6.312439503031245e+17,604222352665870335,POINT (987007.6176638637 152497.93439571452)
4371,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c12f2d4cd51208d0426f5681d5950a3b.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of vehicles navigating through it.",,1,1,nlbx_c12f2d4cd51208d0426f5681d5950a3b,123655,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/b64ec/fod_4CFA3CA9-2811-48AC-AD16-63E4B740BA70.jpg,303.7290344238281,1695995833171,-14400,631243922691412991,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/b64ec/fod_4CFA3CA9-2811-48AC-AD16-63E4B740BA70.jpg,NORTH_WEST,0.6504994630813599,DAYLIGHT,-73.975434,40.737246,7137281967,9832349994,RESIDENTIAL,6.31243922691413e+17,604222325017018367,POINT (991057.8210953933 207876.35616136572)
5159,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_8c0832fa5c568ac39f9bdcda53b1cff4.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of barriers to redirect traffic.",,1,1,nlbx_8c0832fa5c568ac39f9bdcda53b1cff4,30413,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/99062/fod_A8E8F70C-67F4-4F1D-874B-699007A3C5F3.jpg,79.61101531982422,1695998028317,-14400,631243949982526463,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/99062/fod_A8E8F70C-67F4-4F1D-874B-699007A3C5F3.jpg,EAST,0.7547060251235962,DAYLIGHT,-73.993739,40.709545,7830788143,9907939579,PRIMARY,6.312439499825265e+17,604222352263217151,POINT (985985.7598835158 197783.10643030444)
5442,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_752c36c098c00afb2229a05568090e5e.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the presence of traffic cones, which are typically used to indicate hazardous conditions.",,1,1,nlbx_752c36c098c00afb2229a05568090e5e,23154,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/f30ca/fod_217E5A9B-66A6-46AD-B44C-47298D0C8BDD.jpg,208.4524383544922,1695997225919,-14400,631243949851856383,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/f30ca/fod_217E5A9B-66A6-46AD-B44C-47298D0C8BDD.jpg,SOUTH_WEST,0.7358501553535461,DAYLIGHT,-73.998579,40.76493,247120364,247120624,SERVICE,6.312439498518564e+17,604222352128999423,POINT (984643.5562083301 217961.56660052016)
5654,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0e070b9c580245957f3e2b4a2f0d8f0a.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water level reaching the wheels of the vehicles and the presence of a bus partially submerged in water.",,1,1,nlbx_0e070b9c580245957f3e2b4a2f0d8f0a,1127,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/f08ff/fod_73C5048D-379E-4A68-A79D-77DDAB6FC13F.jpg,15.6015625,1696019130049,-14400,631243934259834367,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/f08ff/fod_73C5048D-379E-4A68-A79D-77DDAB6FC13F.jpg,NORTH,0.7506408095359802,DAYLIGHT,-73.760101,40.608862,5155726740,8236301592,RESIDENTIAL,6.312439342598344e+17,604222336559742975,POINT (1050860.3419909447 161192.726382645)
6275,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b15c9756d6093d7affc94da2fadd03c6.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the visible reflections on the surface.",,1,1,nlbx_b15c9756d6093d7affc94da2fadd03c6,19747,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/dc1bb/fod_2BFEB766-A886-44B9-B2AA-A5BE84DD87D0.jpg,128.42255954859482,1695996263340,-14400,631243922413373439,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/dc1bb/fod_2BFEB766-A886-44B9-B2AA-A5BE84DD87D0.jpg,SOUTH_EAST,0.8319555521011353,DAYLIGHT,-73.908356,40.72811,1370740692,479160255,MOTORWAY,6.312439224133734e+17,604222324748582911,POINT (1009650.3948947898 204560.1821051105)
6300,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_fad8620af2b37f93513d21aea9feffdd.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the street, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water covering the road and the vehicles partially submerged.",,1,1,nlbx_fad8620af2b37f93513d21aea9feffdd,19739,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/8048f/fod_70024B03-94BB-4DA1-AA85-521F8CE2E645.jpg,321.45965576171875,1695997439429,-14400,631243919666517503,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/8048f/fod_70024B03-94BB-4DA1-AA85-521F8CE2E645.jpg,NORTH_WEST,0.6333388686180115,DAYLIGHT,-73.870801,40.842931,42754035,42754039,RESIDENTIAL,6.312439196665175e+17,604222321930010623,POINT (1019997.5753026358 246406.44352398452)
