"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
36601,"1","Not Flooded","2026-04-06T16:37:20.879994Z",215690,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_ccaafd467c010e108c1524696f94a7da.jpg",0.761,"2026-04-06T16:37:20.880018Z"
36549,"1","Not Flooded","2026-04-06T16:36:07.035638Z",215691,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_e4515596227938b68a46e22b426e24c0.jpg",0.702,"2026-04-06T16:36:07.035661Z"
36543,"1","Not Flooded","2026-04-06T16:35:58.818187Z",215692,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c3f86eeb8ecef9446cf0e1e2d9202dfd.jpg",0.903,"2026-04-06T16:35:58.818200Z"
36620,"1","Not Flooded","2026-04-06T16:37:44.879977Z",215693,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_69f2091b78d0027a431b00e6c613aa9a.jpg",0.865,"2026-04-06T16:37:44.880005Z"
36224,"1","Not Flooded","2026-04-06T13:13:56.691745Z",215694,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_1884de26f0f465910b0e11528c3405df.jpg",0.883,"2026-04-06T13:13:56.691759Z"
36346,"1","Not Flooded","2026-04-06T16:30:45.116263Z",215695,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_80dcb553b39dd174cd211a8f26c49b43.jpg",0.775,"2026-04-06T16:30:45.116284Z"
36178,"1","Not Flooded","2026-04-06T13:11:42.191235Z",215696,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f1c1f5c0ff118e1fd43329d9c07d80f6.jpg",1.164,"2026-04-06T13:11:42.191257Z"
36184,"1","Not Flooded","2026-04-06T13:11:57.468565Z",215697,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_8e46232473984a9f4cda1b0ae691b3dd.jpg",2.593,"2026-04-06T13:11:57.468592Z"
36369,"1","Not Flooded","2026-04-06T16:31:19.833718Z",215698,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6f35f5883ba438753cd359bc62710732.jpg",0.912,"2026-04-06T16:31:19.833731Z"
36267,"1","Not Flooded","2026-04-06T13:15:18.700116Z",215699,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_be60f02d897dc9ddced7792953d8aff3.jpg",0.973,"2026-04-06T13:15:18.700146Z"
36234,"1","Not Flooded","2026-04-06T13:14:13.477292Z",215700,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0b3f34b519117d4a10f8f81f1c79acc7.jpg",1.166,"2026-04-06T13:14:13.477306Z"
36316,"1","Not Flooded","2026-04-06T13:21:29.880382Z",215701,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bdb2be2d0d491606bfe0da38029dd843.jpg",0.769,"2026-04-06T13:21:29.880394Z"
36311,"1","Not Flooded","2026-04-06T13:21:20.869507Z",215702,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bb2c3c755091d708c3dc7c86c65606f9.jpg",1.211,"2026-04-06T13:21:20.869523Z"
