"annotation_id","annotator","captured_at","choice","created_at","date_str","frame_id","gps_info.latitude","gps_info.longitude","h3_index_res06","id","image","image_idx","lead_time","sensor_id","updated_at"
32828,"1",1696023796929,"Level 0: 0cm","2026-01-11T15:32:25.025848Z","2023-09-29","c07b2ee22b0f63d21c48a32536ff12a0",40.701513,-73.948658,604222325151236095,212841,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325151236095/frames/c07b2ee22b0f63d21c48a32536ff12a0.jpg",681756,4.511,"simply_half_monkey","2026-01-11T15:32:25.025860Z"
32829,"1",1696019590047,"Level 0: 0cm","2026-01-11T15:32:51.058299Z","2023-09-29","fd8a1c1afef846d0a4de6393561b002d",40.833707,-73.883256,604222324345929727,212842,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222324345929727/frames/fd8a1c1afef846d0a4de6393561b002d.jpg",157047,31.108999999999998,"slowly_fast_sawfly","2026-01-11T15:33:25.208851Z"
32830,"1",1695999325474,"Level 0: 0cm","2026-01-11T15:33:00.983029Z","2023-09-29","cfea3d6c92657014a1fc08c1418a8b64",40.833602,-73.883346,604222324345929727,212843,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222324345929727/frames/cfea3d6c92657014a1fc08c1418a8b64.jpg",157100,10.904,"slowly_fast_sawfly","2026-01-11T15:33:27.969353Z"
32831,"1",1696020117586,"Level 0: 0cm","2026-01-11T15:33:04.432898Z","2023-09-29","c92502978a822299f70c1c45c82add62",40.675949,-73.983952,604222353471176703,212844,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222353471176703/frames/c92502978a822299f70c1c45c82add62.jpg",820996,3.172,"daily_gentle_beetle","2026-01-11T15:33:04.432919Z"
32832,"1",1695987160393,"Level 0: 0cm","2026-01-11T15:33:08.668361Z","2023-09-29","9dd1c0642c3563b57a5785098caea182",40.699277,-73.960638,604222325151236095,212845,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325151236095/frames/9dd1c0642c3563b57a5785098caea182.jpg",668642,3.935,"light_maroon_penguin","2026-01-11T15:33:08.668382Z"
32833,"1",1696004000322,"Level 0: 0cm","2026-01-11T15:33:13.633162Z","2023-09-29","60339ae2bf2af1f9f7ed3d027c1c703b",40.695663,-73.788482,604222325419671551,212846,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325419671551/frames/60339ae2bf2af1f9f7ed3d027c1c703b.jpg",271566,4.618,"gladly_pretty_magpie","2026-01-11T15:33:13.633184Z"
32834,"1",1696008030021,"Level 0: 0cm","2026-01-11T15:33:40.180891Z","2023-09-29","7bbebbbabd7a662a28a5cd1bed441114",40.699532,-73.95908,604222325151236095,212847,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325151236095/frames/7bbebbbabd7a662a28a5cd1bed441114.jpg",672719,9.843,"total_melt_deer","2026-01-11T15:33:40.180903Z"
32835,"1",1695998297816,"Level 0: 0cm","2026-01-11T15:33:42.828293Z","2023-09-29","9188ac27160cefb2dc36394576a08f53",40.641076,-73.959294,604222353202741247,212848,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222353202741247/frames/9188ac27160cefb2dc36394576a08f53.jpg",731124,2.287,"wholly_fast_colt","2026-01-11T15:33:42.828314Z"
32836,"1",1696015477471,"Level 0: 0cm","2026-01-11T15:33:45.366794Z","2023-09-29","1063f9d2872118166a5f363441ef1eb4",40.676182,-73.983973,604222353471176703,212849,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222353471176703/frames/1063f9d2872118166a5f363441ef1eb4.jpg",821015,2.254,"weekly_poetic_guinea","2026-01-11T15:33:45.366815Z"
32837,"1",1696022225026,"Level 0: 0cm","2026-01-11T15:33:47.097496Z","2023-09-29","a38d0efb3e0d35e26e86e8cbc70aed26",40.641084,-73.959295,604222353202741247,212850,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222353202741247/frames/a38d0efb3e0d35e26e86e8cbc70aed26.jpg",731073,1.428,"wholly_fast_colt","2026-01-11T15:33:47.097517Z"
32838,"1",1696005859015,"Level 0: 0cm","2026-01-11T15:33:49.111858Z","2023-09-29","7f95192f0364dbd758e1c5bea2b33d06",40.679717,-74.012268,604222352263217151,212851,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222352263217151/frames/7f95192f0364dbd758e1c5bea2b33d06.jpg",802916,1.741,"gladly_mint_snail","2026-01-11T15:33:49.111879Z"
32839,"1",1696012541987,"Level 0: 0cm","2026-01-11T15:33:51.760254Z","2023-09-29","5050396ff4ce19986bdba2a23a43860d",40.711114,-73.77781,604222325419671551,212852,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325419671551/frames/5050396ff4ce19986bdba2a23a43860d.jpg",262132,2.341,"yearly_frank_mullet","2026-01-11T15:33:51.760276Z"
32840,"1",1696023786929,"Level 0: 0cm","2026-01-11T15:33:53.067308Z","2023-09-29","2cd58636b2bedcc41e42fd69c34c490c",40.70155,-73.948699,604222325151236095,212853,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325151236095/frames/2cd58636b2bedcc41e42fd69c34c490c.jpg",681757,1.005,"simply_half_monkey","2026-01-11T15:33:53.067330Z"
32841,"1",1695993003424,"Level 0: 0cm","2026-01-11T15:33:56.407409Z","2023-09-29","a270242f64b5bedc5e390a42a365ce79",40.697408,-73.794537,604222325419671551,212854,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325419671551/frames/a270242f64b5bedc5e390a42a365ce79.jpg",237922,3.049,"mildly_loving_doe","2026-01-11T15:33:56.407431Z"
32842,"1",1696005412406,"Level 0: 0cm","2026-01-11T15:34:00.278228Z","2023-09-29","accaf5b81023edd9a39a29c0b89d70c8",40.691879,-73.792489,604222325419671551,212855,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325419671551/frames/accaf5b81023edd9a39a29c0b89d70c8.jpg",280312,3.372,"tired_red_monkey","2026-01-11T15:34:00.278250Z"
32843,"1",1696004671387,"Level 0: 0cm","2026-01-11T15:34:11.341267Z","2023-09-29","9f5d8db076c16650e7967ce63975062a",40.702904,-73.946723,604222325151236095,212856,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325151236095/frames/9f5d8db076c16650e7967ce63975062a.jpg",675058,10.78,"mean_flying_fish","2026-01-11T15:34:11.341288Z"
32844,"1",1696000952892,"Level 0: 0cm","2026-01-11T15:34:13.733033Z","2023-09-29","3a997db4550874e156f71cbaf9f70981",40.707944,-73.932398,604222325151236095,212857,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325151236095/frames/3a997db4550874e156f71cbaf9f70981.jpg",691768,2.11,"widely_whole_tarpon","2026-01-11T15:34:13.733053Z"
32845,"1",1695998392509,"Level 3: 41-60cm","2026-01-11T15:35:01.685605Z","2023-09-29","ae231e4c00444b291e0fedc57a637878",40.646695,-73.970073,604222353471176703,212858,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222353471176703/frames/ae231e4c00444b291e0fedc57a637878.jpg",826897,47.629,"firmly_needed_heron","2026-01-11T15:35:01.685627Z"
32846,"1",1696005436406,"Level 0: 0cm","2026-01-11T15:35:04.386393Z","2023-09-29","bb85d7c024d251de9725f3a5c891c663",40.692514,-73.790981,604222325419671551,212859,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325419671551/frames/bb85d7c024d251de9725f3a5c891c663.jpg",269497,2.38,"truly_pretty_calf","2026-01-11T15:35:04.386414Z"
32847,"1",1696004300830,"Level 0: 0cm","2026-01-11T15:35:06.646238Z","2023-09-29","446142a542fc48647d717bafee2846aa",40.692287,-73.781666,604222325419671551,212860,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325419671551/frames/446142a542fc48647d717bafee2846aa.jpg",248394,1.986,"evenly_cute_tomcat","2026-01-11T15:35:06.646260Z"
32848,"1",1696024271743,"Level 0: 0cm","2026-01-11T15:35:08.988416Z","2023-09-29","4d2fc9552295c8dab1c63c6c1aa41719",40.700867,-73.951227,604222325151236095,212861,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325151236095/frames/4d2fc9552295c8dab1c63c6c1aa41719.jpg",712863,2.042,"clearly_bored_turtle","2026-01-11T15:35:08.988437Z"
32849,"1",1696014013970,"Level 0: 0cm","2026-01-11T15:35:11.182149Z","2023-09-29","1e589305771eec8b757ea1e8476193b0",40.697435,-73.794557,604222325419671551,212862,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325419671551/frames/1e589305771eec8b757ea1e8476193b0.jpg",237843,1.914,"mildly_loving_doe","2026-01-11T15:35:11.182170Z"
32850,"1",1695994683179,"Level 0: 0cm","2026-01-11T15:35:13.304143Z","2023-09-29","3b0fe1369ec7ff1bd142fd5063bf7ff1",40.697497,-73.794603,604222325419671551,212863,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325419671551/frames/3b0fe1369ec7ff1bd142fd5063bf7ff1.jpg",237914,1.271,"mildly_loving_doe","2026-01-11T15:35:13.304165Z"
32851,"1",1696021944750,"Level 0: 0cm","2026-01-11T15:35:15.247392Z","2023-09-29","f682d266202e67c3bbb1ae32a9873c45",40.675977,-73.983929,604222353471176703,212864,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222353471176703/frames/f682d266202e67c3bbb1ae32a9873c45.jpg",820984,1.644,"daily_gentle_beetle","2026-01-11T15:35:15.247412Z"
32852,"1",1696006501948,"Level 0: 0cm","2026-01-11T15:35:19.166905Z","2023-09-29","23c1e524233f2768850d261efc4a0c90",40.701448,-73.922988,604222325151236095,212865,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325151236095/frames/23c1e524233f2768850d261efc4a0c90.jpg",647458,3.624,"early_calm_ghoul","2026-01-11T15:35:19.166930Z"
32853,"1",1696017965774,"Level 0: 0cm","2026-01-11T15:35:21.371258Z","2023-09-29","54698557aed547c4dd300b70c05de201",40.702812,-73.946865,604222325151236095,212866,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325151236095/frames/54698557aed547c4dd300b70c05de201.jpg",675026,1.884,"mean_flying_fish","2026-01-11T15:35:21.371279Z"
32854,"1",1695989968326,"Level 0: 0cm","2026-01-11T15:35:25.548030Z","2023-09-29","53dabcd9ff15580fba5677f359980411",40.69929,-73.960663,604222325151236095,212867,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325151236095/frames/53dabcd9ff15580fba5677f359980411.jpg",668639,3.896,"light_maroon_penguin","2026-01-11T15:35:25.548043Z"
32855,"1",1696024270441,"Level 0: 0cm","2026-01-11T15:35:27.266910Z","2023-09-29","33e2027179bcaf241f6bc5d963e684ed",40.699417,-73.958992,604222325151236095,212868,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222325151236095/frames/33e2027179bcaf241f6bc5d963e684ed.jpg",696288,1.432,"total_melt_deer","2026-01-11T15:35:27.266931Z"
32856,"1",1696012686523,"Level 0: 0cm","2026-01-11T15:35:28.638734Z","2023-09-29","d29f501ef8c20915f19fbb8c563ce2e3",40.673324,-73.994877,604222353471176703,212869,"/data/local-files/?d=/share/ju/nexar_data/2023/2023-09-29/604222353471176703/frames/d29f501ef8c20915f19fbb8c563ce2e3.jpg",848288,1.067,"overly_heroic_squid","2026-01-11T15:35:28.638746Z"
