Location,Sensor Peak [cm],GT Peak [cm],VLM Peak [cm]
BK - 4th Av/Garfield Pl,41.1,8.0,8.0
BK - 9th St/Smith St,64.4,0.0,0.0
BK - Carroll St/4th Av,91.3,0.0,0.0
BK - Hoyt St/5th St,23.6,8.0,8.0
BK - Kent Ave/Wallabout St,29.8,0.0,0.0
BK - Knickerbocker Ave/ Hart St,14.9,0.0,0.0
BK - Lee Ave/Middleton St,24.9,0.0,0.0
BK - Wallabout St/Harrison Ave,52.9,8.0,8.0
BK - Wallabout St/Throop Ave,63.7,0.0,0.0
BK - Walton St/Marcy Ave,54.3,0.0,0.0
Q - 102nd St/160th Ave,14.1,0.0,0.0
Q - 1st St/104th St,21.3,8.0,8.0
