time,deployment_id,depth_proc_mm,name,depth_clean_mm,median,depth_cm
2023-09-29 00:01:23.331000-04:00,big_pink_elephant,18.0,Q - 1st St/104th St,18.0,,1.8
2023-09-29 00:02:26.946000-04:00,big_pink_elephant,16.0,Q - 1st St/104th St,16.0,,1.6
2023-09-29 00:03:30.027000-04:00,big_pink_elephant,14.0,Q - 1st St/104th St,14.0,14.0,1.4
2023-09-29 00:04:33.280000-04:00,big_pink_elephant,12.0,Q - 1st St/104th St,12.0,12.0,1.2
2023-09-29 00:05:36.269000-04:00,big_pink_elephant,12.0,Q - 1st St/104th St,12.0,12.0,1.2
2023-09-29 00:06:39.033000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:07:42.469000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:08:45.442000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:09:48.528000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:10:51.751000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:11:54.906000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:12:58.447000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:14:01.956000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:15:05.425000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:16:08.569000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:17:12.205000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:18:15.324000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:19:18.275000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:20:21.723000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:21:24.934000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:22:27.912000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:23:31.304000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:24:34.270000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:25:37.297000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:26:40.160000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:27:43.250000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:28:46.674000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:29:49.832000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:30:52.795000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:31:56.365000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:32:59.228000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:34:02.559000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:35:05.348000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:36:08.336000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:37:11.603000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:38:15.170000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:39:17.842000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:40:21.031000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:41:24.183000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:42:27.150000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:43:30.170000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:44:33.284000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:45:36.870000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:46:40.102000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:47:43.068000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:48:45.996000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:49:49.188000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:50:51.881000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:51:54.916000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:52:57.633000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:54:00.980000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:55:03.935000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:56:07.389000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:57:10.410000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:58:13.818000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
2023-09-29 00:59:17.040000-04:00,big_pink_elephant,0.0,Q - 1st St/104th St,0.0,0.0,0.0
