"annotation_id","annotator","answer","choice","created_at","id","image","labels","lead_time","sentiment_1","updated_at"
29775,"1","No,","Not Flooded","2025-02-09T18:33:57.997661Z",0,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_d8737e31d9f155b703c625edbe2fae1f.jpg","",0.812,0,"2025-02-09T18:33:57.997682Z"
28678,"1","No,","Not Flooded","2025-02-03T22:22:42.874219Z",1,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_2187a38c0863e9781a061218e1c5f753.jpg","",0.994,0,"2025-02-03T22:22:42.874240Z"
30578,"1","Yes,","Not Flooded","2025-02-10T19:32:01.620345Z",6,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_41c7aa27ab7236d7a07e2d051c260b03.jpg","",0.655,1,"2025-02-10T19:32:01.620366Z"
30396,"1","Yes,","Flooded","2025-02-10T19:24:45.959081Z",7,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_04d09fc4246c34b7b5a365da5d1f7b94.jpg","",1.332,1,"2025-02-10T19:24:45.959102Z"
29799,"1","No,","Not Flooded","2025-02-09T18:34:30.265106Z",11,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6927550c77667fc617b6e42c4a725574.jpg","",0.744,0,"2025-02-09T18:34:30.265126Z"
30683,"1","No,","Not Flooded","2025-02-10T19:34:57.123835Z",14,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_413009b7c9633adf4ac3e80b8e4139fa.jpg","",0.663,0,"2025-02-10T19:34:57.123856Z"
30413,"1","Yes,","Flooded","2025-02-10T19:26:30.176097Z",15,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_26520d639d3dd4bcabb81f4431835613.jpg","",0.927,1,"2025-02-10T19:26:30.176119Z"
30662,"1","Yes,","Not Flooded","2025-02-10T19:34:27.268537Z",17,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_471111c311eefb19f5063c6829a5f3fc.jpg","",0.917,1,"2025-02-10T19:34:27.268561Z"
29814,"1","No,","Not Flooded","2025-02-09T18:34:52.345667Z",18,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_71df47acf1602019728084c5d25af169.jpg","",0.661,0,"2025-02-09T18:34:52.345687Z"
28626,"1","Yes,","Not Flooded","2025-02-03T22:21:08.482582Z",20,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_02f10b2b247df6ace5b29787fd8f88f1.jpg","",2.311,1,"2025-02-03T22:21:08.482604Z"
