"Unnamed: 0","annotation_id","annotator","choice","created_at","id","image","labels","lead_time","pred_label","pred_score","updated_at"
49,29236,"1","Not Flooded","2025-02-08T04:12:07.096204Z",0,"/data/local-files/?d=/share/XXXX-19/nexar_data/train_test_splits/flooding_train_test_split/test/inference_all/0c878b317669dba7d652e801bdeb3b2d.jpg","",1.351,0,0.0018606738885864,"2025-02-08T04:12:07.096225Z"
61,29290,"1","Not Flooded","2025-02-09T16:37:18.368487Z",1,"/data/local-files/?d=/share/XXXX-19/nexar_data/train_test_splits/flooding_train_test_split/test/inference_all/d5817df8b97838f31344a962dd78d306.jpg","",3.124,0,0.0016907468670979,"2025-02-09T16:37:18.368507Z"
244,29162,"1","Not Flooded","2025-02-08T04:09:25.552850Z",2,"/data/local-files/?d=/share/XXXX-19/nexar_data/train_test_splits/flooding_train_test_split/test/inference_all/91870295d11d791364fd8191f7bdcf4e.jpg","",1.368,1,0.9776843786239624,"2025-02-08T04:09:25.552870Z"
216,29089,"1","Flooded","2025-02-08T04:06:28.412058Z",3,"/data/local-files/?d=/share/XXXX-19/nexar_data/train_test_splits/flooding_train_test_split/test/inference_all/c8d842df67ded9fb7ec97e73d1d2cd54.jpg","",1.077,1,0.9990943670272828,"2025-02-08T04:06:28.412079Z"
223,29359,"1","Flooded","2025-02-09T16:42:33.858891Z",4,"/data/local-files/?d=/share/XXXX-19/nexar_data/train_test_splits/flooding_train_test_split/test/inference_all/d530a6aa120d3f55de47a72f6171958b.jpg","",1.732,1,0.9817849397659302,"2025-02-09T16:42:33.858912Z"
326,29909,"1","Flooded","2025-02-10T18:16:40.390923Z",5,"/data/local-files/?d=/share/XXXX-19/nexar_data/train_test_splits/flooding_train_test_split/test/inference_all/4f17b0450304f77fb7dbd2d184c998a9.jpg","",1.304,1,0.9549528956413268,"2025-02-10T18:16:40.390945Z"
9,29092,"1","Not Flooded","2025-02-08T04:06:33.255292Z",6,"/data/local-files/?d=/share/XXXX-19/nexar_data/train_test_splits/flooding_train_test_split/test/inference_all/b00e9dcb7415674dd0019705f1fbd2bd.jpg","",0.958,0,0.0063120550476014,"2025-02-08T04:06:33.255312Z"
229,29139,"1","Not Flooded","2025-02-08T04:08:40.373901Z",7,"/data/local-files/?d=/share/XXXX-19/nexar_data/train_test_splits/flooding_train_test_split/test/inference_all/038b8662869ca00b125b74e7333c4f85.jpg","",1.078,1,0.910219132900238,"2025-02-08T04:08:40.373921Z"
291,29950,"1","Not Flooded","2025-02-10T18:18:09.118437Z",8,"/data/local-files/?d=/share/XXXX-19/nexar_data/train_test_splits/flooding_train_test_split/test/inference_all/b6eab88726a171d29ae76603fa9294c3.jpg","",0.844,1,0.9570761919021606,"2025-02-10T18:18:09.118457Z"
264,29122,"1","Not Flooded","2025-02-08T04:08:09.270473Z",9,"/data/local-files/?d=/share/XXXX-19/nexar_data/train_test_splits/flooding_train_test_split/test/inference_all/3d01ab6331a74814133b4bfc59279fea.jpg","",1.446,1,0.9984248876571656,"2025-02-08T04:08:09.270500Z"
252,29363,"1","Flooded","2025-02-09T16:42:40.419774Z",10,"/data/local-files/?d=/share/XXXX-19/nexar_data/train_test_splits/flooding_train_test_split/test/inference_all/a96d4a75cde783a45db40778d8605a41.jpg","",1.175,1,0.910841703414917,"2025-02-09T16:42:40.419798Z"
99,29955,"1","Not Flooded","2025-02-10T18:18:16.351631Z",11,"/data/local-files/?d=/share/XXXX-19/nexar_data/train_test_splits/flooding_train_test_split/test/inference_all/4ffc4da9626b6448de9843b95b542bd7.jpg","",0.893,0,0.0023112173657864,"2025-02-10T18:18:16.351653Z"
