                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y_hat_1_given_y_1                        0.218  0.078   0.107    0.362      0.002    0.001    2195.0    2859.0   1.00
p_y_hat_1_given_y_0                        0.000  0.000   0.000    0.001      0.000    0.000    3465.0    4347.0   1.00
p_y[0]                                     0.049  0.213   0.000    0.000      0.005    0.003     515.0    1496.0   1.01
p_y[1]                                     0.001  0.003   0.000    0.006      0.000    0.000    3621.0    4430.0   1.00
p_y[2]                                     0.007  0.007   0.000    0.020      0.000    0.000    3445.0    2865.0   1.00
p_y[3]                                     0.001  0.003   0.000    0.005      0.000    0.000    2969.0    3625.0   1.00
p_y[4]                                     0.001  0.001   0.000    0.003      0.000    0.000    2852.0    4750.0   1.00
p_y[5]                                     0.000  0.001   0.000    0.002      0.000    0.000    3079.0    3759.0   1.00
p_y[6]                                     0.001  0.001   0.000    0.003      0.000    0.000    2833.0    4426.0   1.00
p_y[7]                                     0.001  0.002   0.000    0.003      0.000    0.000    2445.0    3668.0   1.00
p_y[8]                                     0.001  0.003   0.000    0.003      0.000    0.000    2864.0    4572.0   1.00
p_y[9]                                     0.001  0.002   0.000    0.003      0.000    0.000    3088.0    5111.0   1.00
p_y[10]                                    0.001  0.001   0.000    0.002      0.000    0.000    3704.0    5309.0   1.00
p_y[11]                                    0.000  0.001   0.000    0.002      0.000    0.000    2662.0    4352.0   1.00
p_y[12]                                    0.001  0.002   0.000    0.003      0.000    0.000    3182.0    3472.0   1.00
p_y[13]                                    0.000  0.001   0.000    0.002      0.000    0.000    2896.0    4913.0   1.00
p_y[14]                                    0.000  0.001   0.000    0.002      0.000    0.000    3308.0    4759.0   1.00
p_y[15]                                    0.001  0.002   0.000    0.002      0.000    0.000    2885.0    5373.0   1.00
p_y[16]                                    0.000  0.001   0.000    0.002      0.000    0.000    3069.0    4124.0   1.00
p_y[17]                                    0.003  0.004   0.000    0.009      0.000    0.000    3157.0    3424.0   1.00
p_y[18]                                    0.000  0.001   0.000    0.002      0.000    0.000    3594.0    4796.0   1.00
p_y[19]                                    0.000  0.001   0.000    0.001      0.000    0.000    3095.0    4520.0   1.00
p_y[20]                                    0.001  0.002   0.000    0.003      0.000    0.000    2931.0    4193.0   1.00
p_y[21]                                    0.000  0.001   0.000    0.001      0.000    0.000    3389.0    5265.0   1.00
p_y[22]                                    0.001  0.001   0.000    0.002      0.000    0.000    3293.0    4458.0   1.00
p_y[23]                                    0.000  0.001   0.000    0.001      0.000    0.000    3491.0    4137.0   1.00
p_y[24]                                    0.000  0.001   0.000    0.001      0.000    0.000    3573.0    4525.0   1.00
p_y[25]                                    0.000  0.001   0.000    0.001      0.000    0.000    3342.0    5389.0   1.00
p_y[26]                                    0.000  0.001   0.000    0.001      0.000    0.000    3003.0    5129.0   1.00
p_y[27]                                    0.000  0.001   0.000    0.001      0.000    0.000    2850.0    4569.0   1.00
p_y[28]                                    0.000  0.001   0.000    0.001      0.000    0.000    3218.0    4539.0   1.00
p_y[29]                                    0.000  0.001   0.000    0.001      0.000    0.000    3199.0    5352.0   1.00
p_y[30]                                    0.000  0.001   0.000    0.001      0.000    0.000    2687.0    4526.0   1.00
p_y[31]                                    0.000  0.001   0.000    0.001      0.000    0.000    3337.0    4263.0   1.00
p_y[32]                                    0.002  0.004   0.000    0.007      0.000    0.000    3850.0    5167.0   1.00
p_y[33]                                    0.001  0.002   0.000    0.004      0.000    0.000    3458.0    4760.0   1.00
p_y[34]                                    0.001  0.001   0.000    0.002      0.000    0.000    3030.0    3933.0   1.00
p_y[35]                                    0.000  0.001   0.000    0.002      0.000    0.000    3104.0    4379.0   1.00
p_y[36]                                    0.001  0.001   0.000    0.002      0.000    0.000    3356.0    4374.0   1.00
p_y[37]                                    0.000  0.001   0.000    0.002      0.000    0.000    2806.0    4211.0   1.00
p_y[38]                                    0.003  0.004   0.000    0.010      0.000    0.000    3295.0    4014.0   1.00
p_y[39]                                    0.002  0.002   0.000    0.006      0.000    0.000    3549.0    4756.0   1.00
p_y[40]                                    0.000  0.001   0.000    0.002      0.000    0.000    3020.0    4170.0   1.00
p_y[41]                                    0.001  0.001   0.000    0.003      0.000    0.000    3330.0    3578.0   1.00
p_y[42]                                    0.001  0.001   0.000    0.002      0.000    0.000    3139.0    4676.0   1.00
p_y[43]                                    0.001  0.002   0.000    0.004      0.000    0.000    3505.0    4933.0   1.00
p_y[44]                                    0.000  0.001   0.000    0.002      0.000    0.000    2682.0    4193.0   1.00
p_y[45]                                    0.001  0.002   0.000    0.003      0.000    0.000    3263.0    4954.0   1.00
p_y[46]                                    0.001  0.001   0.000    0.003      0.000    0.000    3480.0    4260.0   1.00
p_y[47]                                    0.000  0.001   0.000    0.002      0.000    0.000    3213.0    4172.0   1.00
p_y[48]                                    0.001  0.001   0.000    0.002      0.000    0.000    2644.0    1771.0   1.00
