                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y_hat_1_given_y_1                        0.297  0.104   0.137    0.496      0.001    0.001    8247.0   10380.0    1.0
p_y_hat_1_given_y_0                        0.000  0.000   0.000    0.001      0.000    0.000   10291.0    6543.0    1.0
p_y[0]                                     0.060  0.234   0.000    0.464      0.006    0.004    1260.0    1180.0    1.0
p_y[1]                                     0.001  0.003   0.000    0.004      0.000    0.000   10712.0   10740.0    1.0
p_y[2]                                     0.001  0.002   0.000    0.003      0.000    0.000    9408.0    6013.0    1.0
p_y[3]                                     0.000  0.001   0.000    0.001      0.000    0.000   13899.0   15964.0    1.0
p_y[4]                                     0.001  0.001   0.000    0.002      0.000    0.000   14208.0   18902.0    1.0
p_y[5]                                     0.001  0.003   0.000    0.003      0.000    0.000    9052.0    4868.0    1.0
p_y[6]                                     0.000  0.001   0.000    0.001      0.000    0.000    8648.0   13506.0    1.0
p_y[7]                                     0.000  0.001   0.000    0.001      0.000    0.000    7853.0   15452.0    1.0
p_y[8]                                     0.000  0.001   0.000    0.001      0.000    0.000    9335.0   14157.0    1.0
p_y[9]                                     0.001  0.002   0.000    0.003      0.000    0.000   10980.0   18015.0    1.0
p_y[10]                                    0.001  0.001   0.000    0.003      0.000    0.000    9081.0   14882.0    1.0
p_y[11]                                    0.000  0.001   0.000    0.001      0.000    0.000    8487.0   12803.0    1.0
p_y[12]                                    0.001  0.002   0.000    0.003      0.000    0.000   10307.0   10521.0    1.0
p_y[13]                                    0.000  0.001   0.000    0.001      0.000    0.000    8015.0   13920.0    1.0
p_y[14]                                    0.000  0.001   0.000    0.001      0.000    0.000    5363.0    1881.0    1.0
p_y[15]                                    0.000  0.001   0.000    0.001      0.000    0.000    9984.0   12927.0    1.0
p_y[16]                                    0.001  0.001   0.000    0.002      0.000    0.000    9022.0    6110.0    1.0
p_y[17]                                    0.000  0.001   0.000    0.002      0.000    0.000   13795.0    9104.0    1.0
p_y[18]                                    0.000  0.001   0.000    0.001      0.000    0.000   11240.0   16171.0    1.0
p_y[19]                                    0.000  0.001   0.000    0.001      0.000    0.000    9029.0   16501.0    1.0
p_y[20]                                    0.001  0.002   0.000    0.003      0.000    0.000    8652.0   14148.0    1.0
p_y[21]                                    0.001  0.001   0.000    0.002      0.000    0.000    6945.0    3868.0    1.0
p_y[22]                                    0.000  0.001   0.000    0.002      0.000    0.000   10094.0    5333.0    1.0
p_y[23]                                    0.000  0.001   0.000    0.002      0.000    0.000    9929.0   12374.0    1.0
p_y[24]                                    0.002  0.003   0.000    0.006      0.000    0.000   11030.0   12444.0    1.0
p_y[25]                                    0.001  0.002   0.000    0.004      0.000    0.000    5954.0    2106.0    1.0
p_y[26]                                    0.000  0.000   0.000    0.001      0.000    0.000    7570.0    7259.0    1.0
p_y[27]                                    0.001  0.001   0.000    0.003      0.000    0.000    9735.0    5603.0    1.0
p_y[28]                                    0.001  0.001   0.000    0.003      0.000    0.000   10785.0   17429.0    1.0
p_y[29]                                    0.001  0.001   0.000    0.002      0.000    0.000    7257.0    7471.0    1.0
p_y[30]                                    0.001  0.002   0.000    0.003      0.000    0.000   11912.0   15431.0    1.0
p_y[31]                                    0.000  0.001   0.000    0.001      0.000    0.000   10126.0   14252.0    1.0
p_y[32]                                    0.001  0.001   0.000    0.003      0.000    0.000   13091.0   15458.0    1.0
p_y[33]                                    0.004  0.004   0.000    0.011      0.000    0.000    8285.0   12125.0    1.0
p_y[34]                                    0.001  0.002   0.000    0.005      0.000    0.000    8662.0    3573.0    1.0
p_y[35]                                    0.001  0.001   0.000    0.002      0.000    0.000   13906.0   19281.0    1.0
p_y[36]                                    0.010  0.008   0.000    0.025      0.000    0.000    9218.0    8898.0    1.0
p_y[37]                                    0.001  0.002   0.000    0.004      0.000    0.000   11048.0   10910.0    1.0
p_y[38]                                    0.004  0.005   0.000    0.013      0.000    0.000    4245.0    2306.0    1.0
p_y[39]                                    0.001  0.002   0.000    0.004      0.000    0.000   12502.0   12128.0    1.0
p_y[40]                                    0.001  0.001   0.000    0.002      0.000    0.000   13472.0   17982.0    1.0
p_y[41]                                    0.005  0.008   0.000    0.018      0.000    0.000    9301.0   12503.0    1.0
p_y[42]                                    0.001  0.002   0.000    0.003      0.000    0.000   15575.0   17443.0    1.0
p_y[43]                                    0.007  0.009   0.000    0.022      0.000    0.000    9416.0    8222.0    1.0
p_y[44]                                    0.001  0.001   0.000    0.003      0.000    0.000    6886.0    2457.0    1.0
p_y[45]                                    0.001  0.002   0.000    0.004      0.000    0.000    6870.0    5290.0    1.0
p_y[46]                                    0.005  0.007   0.000    0.016      0.000    0.000    9006.0   11854.0    1.0
p_y[47]                                    0.001  0.002   0.000    0.003      0.000    0.000   11562.0   12877.0    1.0
p_y[48]                                    0.001  0.001   0.000    0.003      0.000    0.000    8641.0   10858.0    1.0
p_y[49]                                    0.001  0.001   0.000    0.003      0.000    0.000   11798.0    5896.0    1.0
p_y[50]                                    0.001  0.002   0.000    0.003      0.000    0.000   14771.0   18149.0    1.0
p_y[51]                                    0.001  0.001   0.000    0.002      0.000    0.000   11643.0   13175.0    1.0
p_y[52]                                    0.002  0.003   0.000    0.006      0.000    0.000   12222.0   15309.0    1.0
p_y[53]                                    0.001  0.002   0.000    0.003      0.000    0.000   11929.0   17041.0    1.0
p_y[54]                                    0.001  0.002   0.000    0.004      0.000    0.000   12565.0   14439.0    1.0
p_y[55]                                    0.002  0.002   0.000    0.005      0.000    0.000   11820.0   17578.0    1.0
p_y[56]                                    0.002  0.003   0.000    0.007      0.000    0.000   11103.0   13821.0    1.0
p_y[57]                                    0.007  0.011   0.000    0.026      0.000    0.000   15537.0   18221.0    1.0
p_y[58]                                    0.002  0.003   0.000    0.007      0.000    0.000   13818.0   13604.0    1.0
p_y[59]                                    0.001  0.002   0.000    0.004      0.000    0.000    9682.0    8202.0    1.0
p_y[60]                                    0.001  0.001   0.000    0.003      0.000    0.000    9015.0   15902.0    1.0
p_y[61]                                    0.004  0.005   0.000    0.013      0.000    0.000   10276.0   11317.0    1.0
p_y[62]                                    0.048  0.027   0.008    0.097      0.000    0.000    7391.0    9912.0    1.0
p_y[63]                                    0.072  0.037   0.016    0.142      0.000    0.000    8114.0   10009.0    1.0
p_y[64]                                    0.003  0.003   0.000    0.008      0.000    0.000   12171.0   14886.0    1.0
p_y[65]                                    0.013  0.014   0.000    0.037      0.000    0.000   13239.0   13979.0    1.0
p_y[66]                                    0.005  0.007   0.000    0.017      0.000    0.000   10540.0    4274.0    1.0
p_y[67]                                    0.002  0.004   0.000    0.007      0.000    0.000   12978.0   11659.0    1.0
p_y[68]                                    0.000  0.001   0.000    0.002      0.000    0.000   11239.0   14161.0    1.0
p_y[69]                                    0.002  0.004   0.000    0.009      0.000    0.000   13948.0   14238.0    1.0
p_y[70]                                    0.001  0.002   0.000    0.003      0.000    0.000   10520.0   13820.0    1.0
p_y[71]                                    0.016  0.017   0.000    0.047      0.000    0.000    9617.0    7949.0    1.0
p_y[72]                                    0.002  0.004   0.000    0.009      0.000    0.000    7866.0    2953.0    1.0
p_y[73]                                    0.001  0.002   0.000    0.003      0.000    0.000   12929.0   14777.0    1.0
p_y[74]                                    0.002  0.005   0.000    0.009      0.000    0.000   11831.0   14843.0    1.0
p_y[75]                                    0.001  0.003   0.000    0.003      0.000    0.000    7947.0   16176.0    1.0
p_y[76]                                    0.001  0.004   0.000    0.004      0.000    0.000   10783.0   16828.0    1.0
p_y[77]                                    0.002  0.004   0.000    0.007      0.000    0.000    8908.0    4166.0    1.0
p_y[78]                                    0.001  0.001   0.000    0.002      0.000    0.000    8684.0    4506.0    1.0
p_y[79]                                    0.001  0.002   0.000    0.005      0.000    0.000    6126.0    2626.0    1.0
p_y[80]                                    0.001  0.003   0.000    0.003      0.000    0.000   10186.0   16278.0    1.0
p_y[81]                                    0.001  0.001   0.000    0.002      0.000    0.000    8863.0   12520.0    1.0
p_y[82]                                    0.001  0.002   0.000    0.004      0.000    0.000    8912.0   11094.0    1.0
p_y[83]                                    0.001  0.002   0.000    0.003      0.000    0.000   11747.0   11589.0    1.0
p_y[84]                                    0.001  0.001   0.000    0.002      0.000    0.000   10267.0   12461.0    1.0
p_y[85]                                    0.003  0.006   0.000    0.013      0.000    0.000    4387.0    2163.0    1.0
p_y[86]                                    0.001  0.001   0.000    0.002      0.000    0.000    8129.0    8275.0    1.0
p_y[87]                                    0.001  0.002   0.000    0.004      0.000    0.000    3498.0    1395.0    1.0
p_y[88]                                    0.001  0.003   0.000    0.005      0.000    0.000   11507.0   11704.0    1.0
p_y[89]                                    0.001  0.002   0.000    0.002      0.000    0.000    5648.0    2277.0    1.0
p_y[90]                                    0.001  0.002   0.000    0.003      0.000    0.000   10214.0   14986.0    1.0
p_y[91]                                    0.001  0.002   0.000    0.002      0.000    0.000    7639.0   12928.0    1.0
p_y[92]                                    0.007  0.009   0.000    0.022      0.000    0.000    9042.0   11252.0    1.0
p_y[93]                                    0.005  0.007   0.000    0.016      0.000    0.000   10902.0   11921.0    1.0
p_y[94]                                    0.006  0.006   0.000    0.017      0.000    0.000   10535.0   12071.0    1.0
p_y[95]                                    0.000  0.001   0.000    0.002      0.000    0.000    8409.0   12454.0    1.0
p_y[96]                                    0.001  0.002   0.000    0.005      0.000    0.000    7349.0    2172.0    1.0
p_y[97]                                    0.001  0.003   0.000    0.005      0.000    0.000   13807.0   13552.0    1.0
p_y[98]                                    0.000  0.001   0.000    0.002      0.000    0.000    7442.0    3702.0    1.0
p_y[99]                                    0.001  0.002   0.000    0.003      0.000    0.000   10711.0   11327.0    1.0
p_y[100]                                   0.001  0.001   0.000    0.003      0.000    0.000    8861.0   11585.0    1.0
p_y[101]                                   0.001  0.003   0.000    0.005      0.000    0.000    7642.0    4292.0    1.0
p_y[102]                                   0.001  0.002   0.000    0.002      0.000    0.000   10187.0   13105.0    1.0
p_y[103]                                   0.001  0.002   0.000    0.004      0.000    0.000   10905.0    6402.0    1.0
p_y[104]                                   0.001  0.004   0.000    0.005      0.000    0.000   13194.0   16695.0    1.0
p_y[105]                                   0.001  0.003   0.000    0.003      0.000    0.000   12732.0   17135.0    1.0
p_y[106]                                   0.001  0.003   0.000    0.004      0.000    0.000   11987.0   17021.0    1.0
p_y[107]                                   0.001  0.002   0.000    0.003      0.000    0.000   11303.0   11611.0    1.0
p_y[108]                                   0.001  0.002   0.000    0.003      0.000    0.000   14554.0   16104.0    1.0
p_y[109]                                   0.001  0.002   0.000    0.003      0.000    0.000   10345.0   13586.0    1.0
p_y[110]                                   0.001  0.002   0.000    0.003      0.000    0.000   10482.0   15510.0    1.0
p_y[111]                                   0.001  0.002   0.000    0.002      0.000    0.000    5745.0    2318.0    1.0
p_y[112]                                   0.001  0.002   0.000    0.003      0.000    0.000   13833.0   16673.0    1.0
p_y[113]                                   0.001  0.003   0.000    0.005      0.000    0.000    5398.0    2011.0    1.0
p_y[114]                                   0.001  0.002   0.000    0.003      0.000    0.000    9814.0   11604.0    1.0
p_y[115]                                   0.001  0.003   0.000    0.005      0.000    0.000    7506.0   12726.0    1.0
p_y[116]                                   0.002  0.004   0.000    0.006      0.000    0.000   14967.0   18468.0    1.0
p_y[117]                                   0.004  0.012   0.000    0.017      0.000    0.000    6557.0    5921.0    1.0
p_y[118]                                   0.002  0.004   0.000    0.006      0.000    0.000    5068.0    2200.0    1.0
p_y[119]                                   0.001  0.004   0.000    0.005      0.000    0.000    8185.0    1979.0    1.0
