                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y_hat_1_given_y_1                        0.223  0.076   0.111    0.365      0.001    0.002    3558.0    4429.0   1.00
p_y_hat_1_given_y_0                        0.000  0.000   0.000    0.001      0.000    0.000    6543.0    9879.0   1.00
p_y[0]                                     0.051  0.216   0.000    0.001      0.004    0.008     745.0    2242.0   1.00
p_y[1]                                     0.001  0.003   0.000    0.006      0.000    0.000    5216.0    6432.0   1.00
p_y[2]                                     0.007  0.007   0.000    0.020      0.000    0.000    6963.0    6406.0   1.00
p_y[3]                                     0.001  0.003   0.000    0.005      0.000    0.000    6089.0    7691.0   1.00
p_y[4]                                     0.001  0.001   0.000    0.003      0.000    0.000    4629.0    6113.0   1.00
p_y[5]                                     0.000  0.001   0.000    0.002      0.000    0.000    6003.0    8361.0   1.00
p_y[6]                                     0.001  0.001   0.000    0.003      0.000    0.000    4845.0    7854.0   1.00
p_y[7]                                     0.001  0.002   0.000    0.003      0.000    0.000    4660.0    7662.0   1.00
p_y[8]                                     0.001  0.003   0.000    0.003      0.000    0.000    5185.0    6616.0   1.00
p_y[9]                                     0.001  0.002   0.000    0.003      0.000    0.000    5677.0    7329.0   1.00
p_y[10]                                    0.001  0.001   0.000    0.002      0.000    0.000    5839.0    8763.0   1.00
p_y[11]                                    0.000  0.001   0.000    0.002      0.000    0.000    4638.0    6175.0   1.00
p_y[12]                                    0.001  0.001   0.000    0.003      0.000    0.000    5692.0    7190.0   1.00
p_y[13]                                    0.000  0.001   0.000    0.002      0.000    0.000    4953.0    7869.0   1.00
p_y[14]                                    0.001  0.001   0.000    0.002      0.000    0.000    5670.0    8066.0   1.00
p_y[15]                                    0.001  0.001   0.000    0.002      0.000    0.000    5247.0    8674.0   1.00
p_y[16]                                    0.000  0.001   0.000    0.002      0.000    0.000    6118.0    9015.0   1.00
p_y[17]                                    0.003  0.004   0.000    0.009      0.000    0.000    4819.0    6607.0   1.00
p_y[18]                                    0.000  0.001   0.000    0.002      0.000    0.000    5176.0    6576.0   1.00
p_y[19]                                    0.000  0.001   0.000    0.001      0.000    0.000    5116.0    6578.0   1.00
p_y[20]                                    0.001  0.002   0.000    0.003      0.000    0.000    6211.0    7861.0   1.00
p_y[21]                                    0.000  0.001   0.000    0.002      0.000    0.000    5067.0    6873.0   1.00
p_y[22]                                    0.001  0.001   0.000    0.002      0.000    0.000    5800.0    8061.0   1.00
p_y[23]                                    0.000  0.001   0.000    0.001      0.000    0.000    5286.0    8411.0   1.00
p_y[24]                                    0.000  0.001   0.000    0.001      0.000    0.000    5561.0    7736.0   1.00
p_y[25]                                    0.000  0.001   0.000    0.002      0.000    0.000    5138.0    8244.0   1.00
p_y[26]                                    0.000  0.001   0.000    0.001      0.000    0.000    4628.0    7352.0   1.00
p_y[27]                                    0.000  0.001   0.000    0.001      0.000    0.000    5389.0    6785.0   1.00
