BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,empirical_estimate,p_y,p_y_CI_lower,p_y_CI_upper,n_images_by_area,empirical_estimate_p_alop,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,n_children,n_elderly,total_households,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,n_catch_basins,catch_basin_density,cb_days_clogged,has_clogged_cb_complaint,cb_avg_resolution_time,dep_moderate_1_area,dep_moderate_1_frac,dep_moderate_2_area,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Manhattan,1000100,The Battery-Governors Island-Ellis Island-Liberty Island,MN01 Financial District-Tribeca (CD 1 Equivalent),4121,,0.0566022564591964,1.53755050907e-313,0.9999999993185512,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,19.0,8.153328995879418,1842846.6205119742,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36061000100,0,0,0,0,0
Manhattan,1000201,Chinatown-Two Bridges,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0023583207762193,1.231530354904586e-05,0.0161047611986485,345,0.0,0.3171168390815476,0.0042397924813238,0.9963071952659408,2568,171,359,1487,486,1114,379,823,674,661,38657.0,282,160,49,221,0.0,37.0,10.417680668712306,972312.5228759922,0.0,14.0,1.4398662642531393e-05,0.0,0,0.0,0.0,0.0,0.0,0.0,36061000201,0,0,0,0,0
Manhattan,1000600,Chinatown-Two Bridges,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0011111111111111,0.0055842448852141,4.926647941871778e-05,0.0277580391797384,900,0.0011111111111111,0.7308603081334093,0.0433722352415696,0.9999999999900704,10179,1135,681,2978,5023,1018,2697,5243,4204,4371,34473.0,2155,1521,634,1596,0.0,41.0,10.160654182384963,2582706.1734739183,0.0,57.0,2.2069874066754974e-05,0.0,0,0.0,22123.7754654228,0.008566121726369204,28743.307693393675,0.011129143527283995,36061000600,0,1,0,0,0
Manhattan,1001401,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0011840951389701,9.400833816667082e-06,0.0079541664612346,259,0.0,0.178372385105544,0.0024318656152956,0.8736078781701745,3395,2371,65,370,258,328,1311,1761,1471,1385,94076.0,398,930,790,100,24.0,43.0,34.84716287389446,1006116.9800693684,0.0,13.0,1.2920962728512636e-05,0.0,0,0.0,0.0,0.0,0.0,0.0,36061001401,1,0,0,0,0
Manhattan,1001402,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0001624482665428,1.35875543625699e-06,0.0010589187117281,705,0.0,0.0839619373786596,0.0009574645713623,0.5261825844653338,3449,1008,249,813,1166,249,910,1807,1520,1584,50347.0,311,1014,360,647,13.0,42.0,27.55303709743172,1226206.729536266,0.0,44.0,3.5883019510617245e-05,0.0,0,0.0,3811.6326496919487,0.003108474744004589,7439.195281827488,0.006066836123661534,36061001402,0,0,0,0,0
Manhattan,1001800,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0002378124378381,1.937470924418458e-06,0.0016332548977394,1782,0.0,0.2213940056022512,0.0034466232429112,0.9456787387807932,6702,2280,410,905,2921,336,1408,2979,2647,2731,79973.0,536,2252,557,428,8.0,45.0,36.39463920963775,2399277.8081235765,0.0,94.0,3.917845598443449e-05,8.0,1,2.6666666666666665,0.0,0.0,0.0,0.0,36061001800,0,0,0,0,0
Manhattan,1002201,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0005358434993198,8.007643232476445e-06,0.0032831241471853,422,0.0,0.1536908398774295,0.0033735357719407,0.7503655744590497,6437,1755,1453,1983,977,988,1281,3011,2232,2662,38594.0,1283,968,580,368,9.0,28.0,17.288703650474275,1740174.560339333,0.0,34.0,1.9538269766091754e-05,0.0,1,0.0,14976.604512296803,0.008606380562980057,16900.033062507904,0.009711688383269095,36061002201,1,0,0,0,0
Manhattan,1002601,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0007681822762789,8.705196419344547e-06,0.0047777080537271,164,0.0,0.0937955960779581,0.0014266398073081,0.5440726822133606,4329,962,751,1860,647,543,513,1916,1636,1771,32837.0,819,533,431,260,2.0,20.0,12.165177006659656,1141217.9761376097,1.0,32.0,2.8040217267083596e-05,2.0,1,2.0,13959.509600230944,0.012232115066637968,14519.520872738247,0.01272282874642299,36061002601,1,0,0,0,0
Manhattan,1002602,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0017764377999501,8.459082978589215e-06,0.0126682754647477,107,0.0,0.1189975718507559,0.000904716204258,0.7444059001542619,3431,1918,168,553,516,180,582,1907,1651,1768,73899.0,397,976,768,179,2.0,15.0,8.42780269058296,1114857.5564801195,0.0,38.0,3.408507192611708e-05,0.0,1,0.0,85282.78507501022,0.07649657535108703,120085.37997709625,0.10771365299459013,36061002602,0,0,0,0,0
Manhattan,1002800,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0014309718553651,6.293810776667573e-06,0.0104095213979069,261,0.0,0.1928727770072906,0.0016413413056974,0.9348540116573736,6234,2088,526,2232,900,667,1255,3108,2866,2724,75100.0,611,2128,853,356,2.0,18.0,8.193808269152818,1973679.2442364937,0.0,58.0,2.938674061115587e-05,0.0,0,0.0,108231.68966424938,0.054837527415007185,130798.89706598305,0.06627160793626416,36061002800,0,0,0,0,0
Manhattan,1003100,Tribeca-Civic Center,MN01 Financial District-Tribeca (CD 1 Equivalent),4121,0.0,0.0009635735584193,2.5549501459765492e-05,0.0051298518193839,1285,0.0,0.4790001690820968,0.0322984242867381,0.9986515843969616,2770,1180,321,479,758,147,131,769,734,739,225694.0,190,579,379,40,8.0,47.0,26.14706415367887,2207103.438743318,1.0,78.0,3.5340436986683184e-05,0.0,0,0.0,83460.46805654805,0.03781447964399386,126091.55235512773,0.057129878981531476,36061003100,0,0,0,0,0
Manhattan,1003200,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.000519377360436,8.11142886842319e-06,0.0032441564283145,628,0.0,0.1991613309834249,0.0050810455839377,0.8700547551113497,7740,5601,117,744,754,489,1335,4625,4369,4351,92434.0,551,3838,1259,288,7.0,32.0,18.9992720733065,2335527.5405055364,0.0,51.0,2.183660826750979e-05,1.0,1,1.0,34805.15699822344,0.014902481942340829,35028.897837597804,0.014998280786710666,36061003200,0,0,0,0,0
