BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,empirical_estimate_ct,p_y,p_y_CI_lower,p_y_CI_upper,empirical_estimate_p_alop,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,n_children,n_elderly,total_households,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_1_frac,dep_moderate_2_area,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Manhattan,1000100,The Battery-Governors Island-Ellis Island-Liberty Island,MN01 Financial District-Tribeca (CD 1 Equivalent),4121,,0.0557610556631779,1.028809785e-313,0.999999999322744,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0.0,19.0,8.157155256591082,1842846.6205119742,0.0,0.0,0.0,0.0,0.0,36061000100,0,0,0,0,0
Manhattan,1000201,Chinatown-Two Bridges,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0007867992544197,5.494659769049082e-06,0.0054463528739467,0.0,0.1635579507520853,0.0018938671943594,0.8480383687801657,2666,238,216,1747,400,1180,328,878,726,740,45582,324,120,130,155,5.0,37.0,20.22099958864665,972312.5228759922,0.0,0.0,0.0,0.0,0.0,36061000201,0,0,0,0,0
Manhattan,1000600,Chinatown-Two Bridges,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0022026431718061,0.0081058925433385,0.0005978109297446,0.0265256439094131,0.0022026431718061,1.0,1.0,1.0,10751,859,654,3301,5567,1292,3340,5191,3792,3773,25655,2074,1559,268,1777,0.0,41.0,17.414627536007433,2582706.1734739183,0.0,22123.7754654228,0.008566121726369204,28743.307693393675,0.011129143527283995,36061000600,0,1,0,0,0
Manhattan,1001401,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.00038673141697,4.974611402844021e-06,0.0024330314455495,0.0,0.0789114373420819,0.0013074705677407,0.4730591427184576,3165,2224,85,314,251,393,1136,1648,1300,1287,89873,310,867,863,111,24.0,43.0,34.84834029020075,1006116.9800693684,0.0,0.0,0.0,0.0,0.0,36061001401,1,0,0,0,0
Manhattan,1001402,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0002853563853362,4.417929837116382e-06,0.0018471705773196,0.0,0.142827120087875,0.0031362267868752,0.7314055738708087,3286,881,250,860,1099,229,858,1733,1335,1452,46615,550,896,300,545,13.0,42.0,27.555401549123523,1226206.729536266,0.0,3811.6326496919487,0.003108474744004589,7439.195281827488,0.006066836123661534,36061001402,0,0,0,0,0
Manhattan,1001800,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0003018297823148,4.508908335294746e-06,0.0018356620596804,0.0,0.2874105576886122,0.0080429539960783,0.9627719142198148,6948,2137,405,1057,3148,393,1437,3075,2521,2647,74485,673,2212,502,555,8.0,45.0,36.39489702326357,2399277.8081235765,0.0,0.0,0.0,0.0,0.0,36061001800,0,0,0,0,0
Manhattan,1002201,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0003500503822697,7.64666644928708e-06,0.0020089951254875,0.0,0.114265076696497,0.0032217047150572,0.5720071084159369,6748,1967,1306,2478,880,990,1297,3022,2054,2656,35700,1397,1007,700,413,9.0,28.0,17.290040802252744,1740174.560339333,0.0,14976.604512296803,0.008606380562980057,16900.033062507904,0.009711688383269095,36061002201,1,0,0,0,0
Manhattan,1002601,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0008779815956123,1.7146681377915118e-05,0.0049706474163983,0.0,0.1113624604246254,0.0028081296614288,0.5583417613851869,4592,998,710,1984,758,588,449,1969,1570,1793,35625,829,658,389,190,2.0,20.0,12.164388363126534,1141217.9761376097,1.0,13959.509600230944,0.012232115066637968,14519.520872738247,0.01272282874642299,36061002601,1,0,0,0,0
Manhattan,1002602,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0019601161346575,1.3851684808707194e-05,0.0137860486111853,0.0,0.1383624038496564,0.0015225356465755,0.7828171068114054,3632,2086,196,724,392,231,440,1846,1620,1633,71907,361,931,897,65,2.0,15.0,8.427072120559743,1114857.5564801195,0.0,85282.78507501022,0.07649657535108703,120085.37997709625,0.10771365299459013,36061002602,0,0,0,0,0
Manhattan,1002800,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0011499524063703,7.74777082761548e-06,0.007457852286887,0.0,0.1911719629827554,0.0021979563875371,0.8806824986548243,6364,1893,300,2245,1357,712,1329,3129,2499,2748,52305,757,1732,917,518,2.0,18.0,8.193899782135077,1973679.2442364937,0.0,108231.68966424938,0.054837527415007185,130798.89706598305,0.06627160793626416,36061002800,0,0,0,0,0
