                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y_hat_1_given_y_1                        0.229  0.082   0.113    0.388      0.002    0.001    2453.0    3049.0   1.00
p_y_hat_1_given_y_0                        0.000  0.000   0.000    0.001      0.000    0.000    3709.0    5098.0   1.00
p_y[0]                                     0.056  0.226   0.000    0.049      0.007    0.005     428.0    1236.0   1.01
p_y[1]                                     0.001  0.002   0.000    0.003      0.000    0.000    3387.0    4435.0   1.00
p_y[2]                                     0.008  0.007   0.000    0.021      0.000    0.000    3958.0    4166.0   1.00
p_y[3]                                     0.000  0.001   0.000    0.001      0.000    0.000    3417.0    5287.0   1.00
p_y[4]                                     0.000  0.001   0.000    0.001      0.000    0.000    2836.0    3587.0   1.00
p_y[5]                                     0.000  0.001   0.000    0.001      0.000    0.000    2632.0    3986.0   1.00
p_y[6]                                     0.000  0.001   0.000    0.001      0.000    0.000    1987.0    3127.0   1.00
p_y[7]                                     0.001  0.002   0.000    0.003      0.000    0.000    2445.0    4898.0   1.00
p_y[8]                                     0.002  0.005   0.000    0.007      0.000    0.000    2636.0    3882.0   1.00
p_y[9]                                     0.001  0.003   0.000    0.004      0.000    0.000    2754.0    4903.0   1.00
p_y[10]                                    0.001  0.001   0.000    0.002      0.000    0.000    3402.0    5506.0   1.00
p_y[11]                                    0.000  0.001   0.000    0.001      0.000    0.000    1882.0    3816.0   1.00
p_y[12]                                    0.001  0.002   0.000    0.005      0.000    0.000    2847.0    3184.0   1.00
p_y[13]                                    0.000  0.001   0.000    0.001      0.000    0.000    2828.0    4756.0   1.00
p_y[14]                                    0.000  0.000   0.000    0.001      0.000    0.000    2429.0    4350.0   1.00
p_y[15]                                    0.000  0.000   0.000    0.001      0.000    0.000    2428.0    4355.0   1.00
p_y[16]                                    0.001  0.001   0.000    0.002      0.000    0.000    3348.0    3871.0   1.00
p_y[17]                                    0.003  0.003   0.000    0.009      0.000    0.000    2752.0    4501.0   1.00
p_y[18]                                    0.000  0.000   0.000    0.001      0.000    0.000    2664.0    4314.0   1.00
p_y[19]                                    0.000  0.000   0.000    0.000      0.000    0.000    2413.0    4132.0   1.00
p_y[20]                                    0.000  0.001   0.000    0.001      0.000    0.000    2853.0    4538.0   1.00
p_y[21]                                    0.000  0.000   0.000    0.001      0.000    0.000    2531.0    3548.0   1.00
p_y[22]                                    0.001  0.001   0.000    0.002      0.000    0.000    2932.0    5051.0   1.00
p_y[23]                                    0.000  0.000   0.000    0.000      0.000    0.000    2650.0    4485.0   1.00
p_y[24]                                    0.000  0.000   0.000    0.001      0.000    0.000    2293.0    3502.0   1.00
p_y[25]                                    0.000  0.000   0.000    0.001      0.000    0.000    2339.0    2978.0   1.00
p_y[26]                                    0.000  0.000   0.000    0.000      0.000    0.000    2096.0    4332.0   1.00
p_y[27]                                    0.000  0.000   0.000    0.000      0.000    0.000    2679.0    4435.0   1.00
p_y[28]                                    0.000  0.000   0.000    0.001      0.000    0.000    2364.0    4000.0   1.00
