                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y_hat_1_given_y_1                        0.275  0.100   0.129    0.468      0.001    0.001   12599.0   11023.0    1.0
p_y_hat_1_given_y_0                        0.000  0.000   0.000    0.001      0.000    0.000   16508.0   17805.0    1.0
p_y[0]                                     0.050  0.215   0.000    0.001      0.003    0.007    2109.0    3374.0    1.0
p_y[1]                                     0.001  0.003   0.000    0.005      0.000    0.000   15728.0   17796.0    1.0
p_y[2]                                     0.000  0.001   0.000    0.002      0.000    0.000   16872.0   14232.0    1.0
p_y[3]                                     0.000  0.000   0.000    0.001      0.000    0.000   13910.0   16984.0    1.0
p_y[4]                                     0.001  0.002   0.000    0.004      0.000    0.000   15344.0   13676.0    1.0
p_y[5]                                     0.002  0.004   0.000    0.006      0.000    0.000   16901.0   15051.0    1.0
p_y[6]                                     0.001  0.002   0.000    0.004      0.000    0.000   12224.0   13304.0    1.0
p_y[7]                                     0.000  0.001   0.000    0.001      0.000    0.000   11854.0   16501.0    1.0
p_y[8]                                     0.000  0.000   0.000    0.000      0.000    0.000   14056.0   19870.0    1.0
p_y[9]                                     0.001  0.001   0.000    0.002      0.000    0.000   14990.0   20668.0    1.0
p_y[10]                                    0.001  0.001   0.000    0.002      0.000    0.000   15244.0   19766.0    1.0
p_y[11]                                    0.000  0.000   0.000    0.000      0.000    0.000   10278.0   14067.0    1.0
p_y[12]                                    0.000  0.001   0.000    0.002      0.000    0.000   16895.0   20694.0    1.0
p_y[13]                                    0.000  0.000   0.000    0.001      0.000    0.000   12346.0   11397.0    1.0
p_y[14]                                    0.001  0.001   0.000    0.002      0.000    0.000   13753.0   15372.0    1.0
p_y[15]                                    0.000  0.000   0.000    0.001      0.000    0.000   11923.0   11986.0    1.0
p_y[16]                                    0.000  0.001   0.000    0.001      0.000    0.000   15817.0   16248.0    1.0
p_y[17]                                    0.000  0.001   0.000    0.001      0.000    0.000   17347.0   19345.0    1.0
p_y[18]                                    0.000  0.001   0.000    0.001      0.000    0.000   13754.0   15330.0    1.0
p_y[19]                                    0.000  0.001   0.000    0.001      0.000    0.000   14995.0   17325.0    1.0
p_y[20]                                    0.001  0.001   0.000    0.003      0.000    0.000   16940.0   17365.0    1.0
p_y[21]                                    0.000  0.001   0.000    0.002      0.000    0.000   14322.0   13653.0    1.0
p_y[22]                                    0.000  0.001   0.000    0.002      0.000    0.000   16485.0   20213.0    1.0
p_y[23]                                    0.000  0.000   0.000    0.000      0.000    0.000   13572.0   18070.0    1.0
