,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.6328614155521718,0.7196450149115591,0.654181492122071
any_positive_classifications,0.2580739956165588,0.7182004576306046,0.6552896705829226
n_positive_classifications,0.26503820090954167,0.7258972645002056,0.6578038342455693
any_positive_ground_truth,0.21806798575423877,0.5938158808103661,0.5605637695715475
n_positive_ground_truth,0.19829952334836784,0.593931573940765,0.5605890734122813
graph_laplacian_frac_pos_classifications_one_iter,0.6389930758157664,0.8012183129370629,0.73991090452796
graph_laplacian_frac_pos_classifications_five_iter,0.6552347623321348,0.8115744549568078,0.7455569050937281
graph_laplacian_n_positive_ground_truth_one_iter,0.21217429801168983,0.7162625976964212,0.6447794932484163
graph_laplacian_n_positive_ground_truth_five_iter,0.24377637532091104,0.738472465034965,0.6535904203551881
OLS_pred_frac_positive_classifications,0.23431095584295633,0.7488302139037434,0.6609051767765244
OLS_pred_n_positive_ground_truth,0.21906606840803639,0.7875617030028794,0.6874158160683281
RandomForest_pred_frac_positive_classifications,0.6396861536567591,0.7822623148909914,0.7123199858817546
RandomForest_pred_n_positive_ground_truth,0.22188055274702215,0.7535431021184698,0.6456813480848237
bayesian_model_p_y,0.6343014780151849,0.8106810468942823,0.6901836669547412
bayesian_model_at_least_one_positive_by_area,0.29520200543662495,0.8850315585150144,0.798775423871773
