                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y_hat_1_given_y_1                        0.570  0.250   0.202    0.997      0.004    0.003    3387.0    6224.0   1.00
p_y_hat_1_given_y_0                        0.001  0.000   0.000    0.001      0.000    0.000    4025.0    6084.0   1.00
p_y[0]                                     0.052  0.220   0.000    0.007      0.005    0.004     511.0    1906.0   1.01
p_y[1]                                     0.001  0.003   0.000    0.003      0.000    0.000    3331.0    5701.0   1.00
p_y[2]                                     0.006  0.007   0.000    0.017      0.000    0.000    4575.0    6039.0   1.00
p_y[3]                                     0.000  0.001   0.000    0.001      0.000    0.000    3118.0    5118.0   1.00
p_y[4]                                     0.000  0.001   0.000    0.001      0.000    0.000    2599.0    5168.0   1.00
p_y[5]                                     0.000  0.001   0.000    0.001      0.000    0.000    2862.0    5836.0   1.00
p_y[6]                                     0.000  0.001   0.000    0.001      0.000    0.000    1973.0    3700.0   1.00
p_y[7]                                     0.001  0.002   0.000    0.003      0.000    0.000    2127.0    3860.0   1.00
p_y[8]                                     0.001  0.003   0.000    0.004      0.000    0.000    2864.0    4845.0   1.00
p_y[9]                                     0.001  0.003   0.000    0.004      0.000    0.000    2666.0    3661.0   1.00
p_y[10]                                    0.001  0.001   0.000    0.002      0.000    0.000    3265.0    5401.0   1.00
p_y[11]                                    0.000  0.000   0.000    0.001      0.000    0.000    1851.0    3632.0   1.00
p_y[12]                                    0.001  0.001   0.000    0.003      0.000    0.000    4070.0    7344.0   1.00
p_y[13]                                    0.000  0.001   0.000    0.001      0.000    0.000    2722.0    4963.0   1.00
p_y[14]                                    0.000  0.000   0.000    0.001      0.000    0.000    2554.0    4404.0   1.00
p_y[15]                                    0.000  0.000   0.000    0.001      0.000    0.000    2386.0    4944.0   1.00
p_y[16]                                    0.001  0.001   0.000    0.002      0.000    0.000    3901.0    6057.0   1.00
p_y[17]                                    0.000  0.001   0.000    0.002      0.000    0.000    4713.0    7909.0   1.00
p_y[18]                                    0.000  0.000   0.000    0.000      0.000    0.000    2889.0    5821.0   1.00
p_y[19]                                    0.000  0.000   0.000    0.000      0.000    0.000    2791.0    5918.0   1.00
p_y[20]                                    0.000  0.000   0.000    0.001      0.000    0.000    3034.0    5855.0   1.00
p_y[21]                                    0.000  0.000   0.000    0.001      0.000    0.000    2564.0    5603.0   1.00
p_y[22]                                    0.001  0.001   0.000    0.002      0.000    0.000    3598.0    5852.0   1.00
p_y[23]                                    0.000  0.000   0.000    0.000      0.000    0.000    2685.0    6322.0   1.00
p_y[24]                                    0.000  0.000   0.000    0.001      0.000    0.000    2412.0    5741.0   1.00
p_y[25]                                    0.000  0.000   0.000    0.001      0.000    0.000    3321.0    5904.0   1.00
p_y[26]                                    0.000  0.000   0.000    0.000      0.000    0.000    2444.0    4906.0   1.00
p_y[27]                                    0.000  0.000   0.000    0.000      0.000    0.000    2540.0    5647.0   1.00
p_y[28]                                    0.000  0.000   0.000    0.000      0.000    0.000    2590.0    5516.0   1.00
p_y[29]                                    0.001  0.001   0.000    0.002      0.000    0.000    2874.0    5330.0   1.00
p_y[30]                                    0.001  0.001   0.000    0.002      0.000    0.000    3421.0    7115.0   1.00
p_y[31]                                    0.000  0.000   0.000    0.000      0.000    0.000    2507.0    4854.0   1.00
p_y[32]                                    0.000  0.001   0.000    0.001      0.000    0.000    3351.0    4490.0   1.00
p_y[33]                                    0.000  0.000   0.000    0.001      0.000    0.000    2744.0    6473.0   1.00
p_y[34]                                    0.000  0.001   0.000    0.001      0.000    0.000    2731.0    4918.0   1.00
