geoid,tract_id,empirical_estimate,p_y,p_y_CI_lower,p_y_CI_upper,n_images_by_area
36061000100.0,36061000100.0,,0.05968737389158669,1.6528645589e-312,0.9999999993821943,0
36061000201.0,36061000201.0,0.0,0.002002057822665878,2.3263439784980064e-05,0.012153130237243997,345
36061000600.0,36061000600.0,0.0022172949002217295,0.008113421459257199,0.0005828994188917475,0.026917631002395224,902
36061001401.0,36061001401.0,0.0,0.0009828675022664367,1.465488645982188e-05,0.005963786659657922,259
36061001402.0,36061001402.0,0.0,0.00012194697267315442,1.9640801909878584e-06,0.0007858278142550529,705
36061001800.0,36061001800.0,0.0,0.00015626664784258165,2.333006065330067e-06,0.0009463551941438419,1783
36061002201.0,36061002201.0,0.0,0.00041750075383333127,1.0789053259180318e-05,0.0023830678902911984,422
36061002601.0,36061002601.0,0.0,0.0006177370720169116,1.1916385138644252e-05,0.00374879129461122,164
36061002602.0,36061002602.0,0.0,0.001107330398017051,8.917183632878246e-06,0.00759204963445423,107
36061002800.0,36061002800.0,0.0,0.0009106168324617721,5.82305901551181e-06,0.006000859689257961,261
36061003100.0,36061003100.0,0.0,0.0006056949374742807,2.455492387839526e-05,0.0029896673237592747,1285
36061003200.0,36061003200.0,0.0,0.00033588014305993997,8.690726196084747e-06,0.0019537524540407906,628
36061003300.0,36061003300.0,0.000877963125548727,0.0008959091747196392,9.281866711385937e-06,0.0050263392680098065,2278
36061003400.0,36061003400.0,0.0,0.0002281021673175578,2.47516135891515e-06,0.0014431005662858846,674
36061003601.0,36061003601.0,0.0,6.806243535492331e-05,6.256007864437285e-07,0.000459845244306205,669
36061003602.0,36061003602.0,0.001451378809869376,0.0002520637925730529,2.578270149313975e-06,0.0017515671612164214,689
36061003700.0,36061003700.0,0.0003429355281207133,0.0004499982875579633,8.360083896076722e-06,0.0023880049403388957,2916
36061003900.0,36061003900.0,0.002234137622877569,0.0017644240015170151,3.1100067412367864e-06,0.009629774058931099,2238
36061004001.0,36061004001.0,0.0,0.00014330398391222807,1.0655769732628407e-06,0.0010056843295783954,728
36061004002.0,36061004002.0,0.0,8.403682869843985e-05,7.535006021710002e-07,0.0005680315066080691,428
36061004100.0,36061004100.0,0.001059322033898305,0.00020866643010863272,3.049150709704269e-06,0.0013574172373039064,944
36061004300.0,36061004300.0,0.0,0.000151019305735728,2.0093391274444455e-06,0.0009054870426593122,891
36061004500.0,36061004500.0,0.0,0.000544327377491344,1.1213969236305548e-05,0.0031533291294947047,737
36061005200.0,36061005200.0,0.0,0.00014183110588237479,2.330669910176387e-06,0.0008894932816973204,861
36061005400.0,36061005400.0,0.0,0.0004610098005016267,1.2905776370642058e-05,0.002479376788448731,1336
36061005501.0,36061005501.0,0.0,0.00014457913137318304,9.364648093073172e-07,0.0010016790482440614,649
36061005502.0,36061005502.0,0.0,6.846703254635707e-05,9.428960367592868e-07,0.00042093127159697173,1265
36061005800.0,36061005800.0,0.0,0.00010421474890104072,1.6527095850143528e-06,0.000646851948511354,1450
36061006300.0,36061006300.0,0.0,0.00040157230485832554,9.740875407438428e-06,0.0022185589801294496,1162
36061006500.0,36061006500.0,0.0,0.00035576132815783225,7.779167864670922e-06,0.0019976659871172526,1134
36061006700.0,36061006700.0,0.0,0.0001345154682622789,2.08729806087405e-06,0.0007931678064185377,1113
36061006800.0,36061006800.0,0.0,0.0001607411584229802,3.2650780512373026e-06,0.0009604161773762055,1122
36061007001.0,36061007001.0,0.0,0.0010545720496531142,7.575321568265469e-06,0.007064605333432487,252
36061007002.0,36061007002.0,0.0011614401858304297,0.0007656371099943059,5.8831859704426505e-06,0.005080067858239961,861
36061007100.0,36061007100.0,0.0,0.00010843318483701613,1.1989821756510434e-06,0.0007216428699862357,882
36061007200.0,36061007200.0,0.0,0.00020099344270863958,3.202081773557155e-06,0.00118757074634284,1404
36061007300.0,36061007300.0,0.0009699321047526673,3.5573555454218475e-05,5.054321194911972e-07,0.00022026634878302644,1031
36061007600.0,36061007600.0,0.0,0.00012238192621092696,1.7827132417721497e-06,0.0007750929392533352,1028
36061007700.0,36061007700.0,0.003092783505154639,0.0007584950794656653,4.192592473842486e-06,0.0056544808423429046,970
36061007800.0,36061007800.0,0.0013169446883230904,0.0011057879266918407,1.2970539561213628e-05,0.006078037114930461,2278
36061008000.0,36061008000.0,0.0,0.0001637219065817941,2.5154009113943575e-06,0.0009863376296093305,2116
36061008100.0,36061008100.0,0.0008771929824561404,0.0012471857035766514,2.1208513710743717e-05,0.0067918613947065,1140
36061008200.0,36061008200.0,0.0021586616297895305,4.5959551219063305e-05,4.828400205690045e-07,0.0002929138618493985,1853
36061008300.0,36061008300.0,0.0,0.0015179293945511657,3.923181707643983e-05,0.0073708336920826215,885
36061008400.0,36061008400.0,0.0,0.00031010813920699193,6.384790743051472e-06,0.0017433686173990454,1401
36061008700.0,36061008700.0,0.002224694104560623,0.0016593464527074368,3.0154304380966666e-05,0.009043526629116517,899
36061008900.0,36061008900.0,0.0,0.000517502142872153,8.021278837415907e-06,0.003044402018551931,888
36061009100.0,36061009100.0,0.0,0.0001807107207268491,2.602333516240239e-06,0.0010947323803062155,1458
36061009200.0,36061009200.0,0.0,0.0005628423623941256,1.121555127381436e-05,0.003010712371586767,1650
36061009300.0,36061009300.0,0.0,0.0004956124169645798,9.35347506717186e-06,0.002847953401119186,1039
36061009400.0,36061009400.0,0.0032658393207054214,0.0004429963356840196,2.1278753440743703e-06,0.003850684256806574,1531
36061009500.0,36061009500.0,0.000881057268722467,0.0004506399599103501,5.110663565046347e-06,0.002848789980572649,1135
36061009600.0,36061009600.0,0.0,0.0003391787270002661,6.178334331523989e-06,0.0019810797766197305,1098
36061009700.0,36061009700.0,0.0010162601626016261,0.0003569086506199135,5.76651954580811e-06,0.0022240344398610215,984
36061009902.0,36061009902.0,0.005780346820809248,0.015588743830122495,0.0015186017957175735,0.04421552466329042,865
36061010000.0,36061010000.0,0.0007072135785007072,0.00034093675578182755,4.345337076529937e-06,0.0021796052401962473,1414
36061010100.0,36061010100.0,0.0021231422505307855,0.0022761354239008015,2.2119752174331357e-05,0.012211243411206404,942
36061010200.0,36061010200.0,0.0007936507936507937,0.0006456614404192643,8.146385672725611e-06,0.0038616904777686624,1260
36061010400.0,36061010400.0,0.0,0.00020729279999492673,2.7854751537097973e-06,0.0012701870485355082,1130
36061010801.0,36061010801.0,0.00390625,0.001630562612718443,8.108830442659311e-06,0.012024068755066288,256
36061010802.0,36061010802.0,0.0,0.0004238316827719828,1.6077614223267306e-06,0.0031072010368082587,230
36061010803.0,36061010803.0,0.004048582995951417,0.002101786154996351,4.800317737186198e-06,0.015381413286441365,494
36061010900.0,36061010900.0,0.0,0.00013891422133178893,1.801879158423497e-06,0.0008513790638936404,1669
36061011201.0,36061011201.0,0.0,0.0008175113389731251,1.1005011578400104e-05,0.0050822352988684405,639
36061011202.0,36061011202.0,0.0033222591362126247,0.0015977444278511997,1.3447720936780931e-05,0.01044651123459714,602
36061011203.0,36061011203.0,0.0,0.00022573824111024945,2.2202701329200224e-06,0.001453563691937764,648
36061011300.0,36061011300.0,0.0,0.0002288486230438271,2.6464007071492323e-06,0.001460344681612792,914
36061011402.0,36061011402.0,0.0,0.000454692623783707,7.612265722101289e-06,0.002686309088635293,754
36061011800.0,36061011800.0,0.0,0.0011864841927733175,4.434651199643574e-05,0.00581261213085062,686
36061011900.0,36061011900.0,0.0,0.0001847711890249544,1.9304149482252157e-06,0.001190562105064067,952
36061012000.0,36061012000.0,0.0013175230566534915,0.0008432455950593813,1.2596619583751466e-05,0.005134741831659819,759
36061012101.0,36061012101.0,0.0,0.00027946421149027006,1.9613943329193418e-06,0.001944402653192682,563
36061012102.0,36061012102.0,0.0,0.0001352943405986091,1.095001357672683e-06,0.0008966756514758273,511
36061012200.0,36061012200.0,0.0008665511265164644,0.0007664443821547538,8.590345063377652e-06,0.004699309473489881,1154
36061012500.0,36061012500.0,0.0029791459781529296,0.0002087385628210348,1.4791948727722073e-06,0.0014740333962224563,1007
36061012601.0,36061012601.0,0.0051813471502590676,0.0036398971738842148,3.2920906766121434e-05,0.0229741891691987,193
36061012602.0,36061012602.0,0.0,0.0016762129693639728,2.1273420935591428e-05,0.00969667354321617,412
36061012700.0,36061012700.0,0.0018814675446848542,9.265072011367674e-05,1.4073687159781394e-06,0.0005848784250462852,1063
36061013000.0,36061013000.0,0.0,0.0004370245991912574,6.291816182458432e-06,0.0026341460644738663,947
36061013100.0,36061013100.0,0.0025167785234899327,0.0003497604397971607,1.5220347216414708e-06,0.0030512210072069015,1192
36061013201.0,36061013201.0,0.015463917525773196,0.0719701665635454,0.02104976887398041,0.16408357653626895,388
36061013202.0,36061013202.0,0.023255813953488372,0.09582488416564362,0.028952058731131713,0.21120847816541974,344
36061013300.0,36061013300.0,0.002244668911335578,0.0003182874466350711,3.432284073200834e-06,0.002079634043677914,891
36061013601.0,36061013601.0,0.007220216606498195,0.02944517087055475,0.002953793296115339,0.09134879942108065,277
36061013602.0,36061013602.0,0.0,0.00836610499453589,0.00022413520679743663,0.03849752797116984,209
36061014801.0,36061014801.0,0.0,0.00019334721815159446,3.1928852684955095e-06,0.0011410849594138122,139
36061014900.0,36061014900.0,0.0,0.0006698330548428412,1.0820633356728339e-05,0.003701213268693853,1147
36061015001.0,36061015001.0,0.0,0.0002517640291716355,2.6525607648355825e-06,0.001669860313305852,310
36061015002.0,36061015002.0,0.0,0.0012818382158973404,1.548502470325227e-05,0.007935173509726431,424
36061015101.0,36061015101.0,0.00784313725490196,0.011067900009234681,5.567429292993717e-05,0.05207772736716463,255
36061015301.0,36061015301.0,0.0,0.0008178620696009295,3.647294481061361e-06,0.005928785987933445,347
36061015302.0,36061015302.0,0.002288329519450801,0.0004910706427800414,3.5769515948240963e-06,0.003433632685591926,437
36061015401.0,36061015401.0,0.0,0.0016424635425804296,2.7866502422401375e-05,0.009789612885295465,131
36061015402.0,36061015402.0,0.0,0.001784639908233238,8.96095103788334e-06,0.012113023295050204,173
36061015403.0,36061015403.0,0.0,0.002194983641857679,1.2628430152231197e-05,0.015327759503415467,91
36061015501.0,36061015501.0,0.0,0.0018979217869071364,2.1894939830102344e-05,0.011221467584616285,233
36061015601.0,36061015601.0,0.0,0.0020716742846469786,4.5444704710264685e-05,0.011356166757301592,346
36061015602.0,36061015602.0,0.0,0.0022640459633892695,5.3862949106983686e-05,0.012091032942750253,294
36061015700.0,36061015700.0,0.0,0.0003726624687147076,5.810475767776052e-06,0.0022230822950825135,861
36061015801.0,36061015801.0,0.0,0.00041451550307335214,9.03659970552389e-06,0.002348513637029933,431
36061015802.0,36061015802.0,0.0,0.00047863355547733254,9.130923221297936e-06,0.0028332463521836965,194
36061016001.0,36061016001.0,0.0,0.00044867566188362044,5.349222556121765e-06,0.002781262631846016,585
36061016100.0,36061016100.0,0.0,0.00027121581533057643,2.9164190311417487e-06,0.0017527019639106052,591
36061016200.0,36061016200.0,0.0004923682914820286,0.0017419919731447408,0.00011565709418632289,0.00656720734455309,2031
36061016400.0,36061016400.0,0.0,0.00276115106167839,6.83098810611078e-05,0.013961371862655824,447
36061016500.0,36061016500.0,0.0,0.0005753834008535513,8.810144165333338e-06,0.0035357579248421174,815
36061016600.0,36061016600.0,0.0030864197530864196,0.0023305180269668105,3.733714058989234e-05,0.014084084555876555,324
36061016900.0,36061016900.0,0.0,0.0005952426064747406,7.0218341991207085e-06,0.003563672992061409,664
36061017000.0,36061017000.0,0.0,0.0020181585461995187,2.9284861596264525e-05,0.011867890359983143,394
36061017100.0,36061017100.0,0.0,0.0019424404501883611,2.4224060510420233e-05,0.010809698230351402,535
36061017200.0,36061017200.0,0.0,0.005755460381902358,0.000249391339168919,0.025844851968503814,264
36061017300.0,36061017300.0,0.0,0.000647449321414502,6.067678447577263e-06,0.004213879810469537,478
36061017401.0,36061017401.0,0.0,0.004110128445527607,8.984813922116816e-05,0.021282495792544116,299
36061017402.0,36061017402.0,0.0,0.0008051538041653611,8.81140553439703e-06,0.005274643992060639,149
36061017500.0,36061017500.0,0.004081632653061225,0.00782429221967459,3.7305599089999387e-05,0.03531991447097608,490
36061017700.0,36061017700.0,0.002150537634408602,0.00044537992914875683,2.24454318519714e-06,0.0033991673145517386,465
36061018000.0,36061018000.0,0.002053388090349076,0.0037757726000459627,0.0001232434177064778,0.017900405212318036,487
36061018100.0,36061018100.0,0.0,0.00044387813815067594,4.253000750139923e-06,0.0028698648527097333,517
36061018400.0,36061018400.0,0.0,0.0007038385915369448,1.554338902617994e-05,0.003994486805270617,520
36061018600.0,36061018600.0,0.006993006993006993,0.0010943314574793836,1.7885508313558917e-05,0.0068767254891290526,143
36061018700.0,36061018700.0,0.0,0.0010717343240042672,9.12067058718381e-06,0.006487542977896479,577
36061019300.0,36061019300.0,0.0,0.0002831064827141323,4.768803216416569e-06,0.00168509324370268,606
36061019600.0,36061019600.0,0.0,0.001136768468547731,2.7460496828489314e-05,0.0060883866539084095,552
36061019702.0,36061019702.0,0.0,0.00021018250006727017,1.6670076192744032e-06,0.0014010060979590608,214
36061019900.0,36061019900.0,0.0,0.0016827479706143166,2.352504978399987e-05,0.009991753767115516,363
36061020500.0,36061020500.0,0.004210526315789474,0.013989475649620322,0.0007104989574423565,0.04865249307625537,475
36061020600.0,36061020600.0,0.0,0.0011198186402754313,2.265305007657077e-05,0.0064649459998361025,373
36061020701.0,36061020701.0,0.0,0.00012400443634617522,1.0694085916366147e-06,0.0008558918359244286,84
36061020800.0,36061020800.0,0.004975124378109453,0.0008388597178094461,8.420384266111241e-06,0.005824069001254101,201
36061021303.0,36061021303.0,0.0,0.0002638646494573204,4.47618331342524e-06,0.0016020327874535403,178
36061021500.0,36061021500.0,0.0,0.0007201397471688892,1.0975643702979578e-05,0.004513215833640906,104
36061021600.0,36061021600.0,0.0,0.0006588513452984409,1.226260283008011e-05,0.004111870309293858,324
36061021703.0,36061021703.0,0.0,0.00044760982002676786,1.2659824006631105e-05,0.0023996056631298167,128
36061021800.0,36061021800.0,0.0,0.0006602392569447967,1.0830415938431473e-05,0.0038671791995773808,431
36061022000.0,36061022000.0,0.0,0.0006929284413463737,6.211609072111504e-06,0.00482402674546961,311
36061022102.0,36061022102.0,0.0,0.00018669382731695633,2.423173612001106e-06,0.001172079194952657,157
36061022200.0,36061022200.0,0.0,0.0006466967503466916,1.0331110285474981e-05,0.003980383737542796,423
36061022301.0,36061022301.0,0.0,0.00173690402788523,1.0904517753649191e-05,0.011363438591474595,358
36061022400.0,36061022400.0,0.002890173410404624,0.0014675185809655442,1.9865126579593304e-05,0.009561817696965106,346
36061022600.0,36061022600.0,0.0,0.0009784851273212482,1.204874519283766e-05,0.0060051662331406285,204
36061022800.0,36061022800.0,0.0,0.0006828246298335683,7.985367490653982e-06,0.004368145215140234,292
36061023100.0,36061023100.0,0.0,0.0003424982336843014,7.139610630549586e-06,0.0020080303316426084,198
36061023400.0,36061023400.0,0.0,0.0008897613018445459,1.4040620027963899e-05,0.0053875996319345315,117
36061023502.0,36061023502.0,0.0,0.00028438546283156345,3.7194809314465203e-06,0.0017730595903062514,39
36061024301.0,36061024301.0,0.0,0.0006343938904856437,7.911310925870955e-06,0.00411224519258696,62
36061024900.0,36061024900.0,0.0,0.0006732890927050713,4.130192247694889e-06,0.004783733075832274,109
36061025500.0,36061025500.0,0.015360983102918587,0.06899984707079557,0.028118099352114616,0.1311135463894525,1302
36061026500.0,36061026500.0,0.008036739380022962,0.02483166747234713,0.0052314574591018955,0.06190603483879437,871
36061026700.0,36061026700.0,0.0,0.002095769130768235,5.306401172297037e-06,0.015228242962232443,46
36061026900.0,36061026900.0,0.0,0.0011804795615399347,1.1194221620431415e-05,0.007659575621898992,171
36061027100.0,36061027100.0,0.0,0.0014529906093928594,2.2201756046062066e-05,0.008925330484276543,192
36061029300.0,36061029300.0,0.0,0.0011629288398362406,4.460979146704703e-06,0.008194466718932505,280
36061029500.0,36061029500.0,0.0,0.0005002600083708518,2.468874675918526e-06,0.003533015479012578,86
36005000200.0,36005000200.0,0.0,0.0022581331720493663,1.2677660213701428e-05,0.01581924207341971,106
36005001600.0,36005001600.0,0.0,0.0008106315747860339,7.989956957759704e-06,0.00504537414730618,220
36005001904.0,36005001904.0,,0.09497290513388588,0.0004161872833961715,0.6248561319528465,0
36005002002.0,36005002002.0,0.0,0.00036408260437216066,3.7137629616907724e-06,0.002338202094191275,86
36005002300.0,36005002300.0,0.0,0.006408929050469609,0.00010649850856293445,0.036230264824687344,99
36005002500.0,36005002500.0,0.0,0.0022747800253925645,3.85206367878901e-05,0.013723233008588336,225
36005002701.0,36005002701.0,0.0,0.007020675857899535,3.7830406154209286e-05,0.04938415806966326,31
36005002702.0,36005002702.0,0.0,0.002821863967604662,8.526249692665848e-05,0.015176412773732897,176
36005003800.0,36005003800.0,0.0,0.0002629881862152919,4.612070464037487e-07,0.001888542160423794,52
36005003900.0,36005003900.0,0.0,0.002417170036490538,5.419288846183628e-05,0.012854242596131066,285
36005004001.0,36005004001.0,0.0,0.0021165421782364576,1.3500490848520144e-05,0.014005159719279467,70
36005004200.0,36005004200.0,0.0,0.0003697351141589274,1.0246013627007805e-05,0.001995835155790603,1573
36005004400.0,36005004400.0,0.0,0.001030809509828346,2.8522795094774747e-05,0.005744942021343372,344
36005004600.0,36005004600.0,0.0,0.00024007971262560873,2.4457307756590366e-06,0.0015068508504284205,281
36005004800.0,36005004800.0,0.0,0.001844044151186753,7.205806681379178e-05,0.009385541040116909,245
36005005001.0,36005005001.0,0.0,0.0012618912287337952,7.385975872612165e-06,0.00916842260046531,22
36005005002.0,36005005002.0,0.0,0.0015659466845701453,1.0044197092425426e-05,0.011099087855406541,47
36005005400.0,36005005400.0,0.0,0.006454996822628734,0.00015592030284965595,0.03496102032189004,121
36005006302.0,36005006302.0,0.0,0.001876701979501676,3.6062269611508223e-05,0.010638192843308795,289
36005006400.0,36005006400.0,0.029585798816568046,0.046711791239764974,0.003912214312796625,0.1427405857334911,169
36005006500.0,36005006500.0,0.0,0.002253471793894058,8.33187289675499e-05,0.010753239420969816,360
36005006800.0,36005006800.0,0.0,0.0012823704676698637,1.7259499809583575e-05,0.007761227406694811,175
36005007000.0,36005007000.0,0.0,0.0008833273229653788,8.759289959961515e-06,0.005825109022778387,81
36005007200.0,36005007200.0,0.0023923444976076554,0.005648877225800875,0.0002250770140708744,0.024487750201354616,418
36005007400.0,36005007400.0,0.0,0.0006470727559120459,3.281713278192981e-06,0.0044904464413444275,47
36005007600.0,36005007600.0,0.0,0.001032799793774947,1.558015450781779e-05,0.006385057529780176,139
36005007900.0,36005007900.0,0.0,0.0005036276771901677,1.3851399462237843e-05,0.002812430517573255,202
36005008400.0,36005008400.0,0.0,0.0004361969167922954,7.385878586761514e-07,0.0032337384764929145,89
36005008500.0,36005008500.0,0.0,0.0004965653841334438,1.1592645707455617e-05,0.0028621581329928564,215
36005008600.0,36005008600.0,0.0,0.0005701423749027869,1.8871254853184972e-06,0.004157090710206511,56
36005008700.0,36005008700.0,0.0,0.0009543392092127587,1.8122145778462984e-05,0.0057327501904547475,135
36005009200.0,36005009200.0,0.0,0.002115786803548217,5.8641528587279046e-05,0.011054615610180627,400
36005011702.0,36005011702.0,0.03278688524590164,0.06456020955141921,0.0027699041837601977,0.23397728656047148,61
36005011900.0,36005011900.0,0.0,0.0007615407686231831,1.542011773349458e-05,0.004522899586772217,238
36005012101.0,36005012101.0,0.0,0.0003650104460895174,7.632492211517033e-07,0.002780661934641019,118
36005012102.0,36005012102.0,0.0,0.0002618920120191074,1.6997876078811087e-06,0.001796737767484418,68
36005012500.0,36005012500.0,0.0,0.0008495006868991509,1.1371924537613336e-05,0.005286678036468404,103
36005012901.0,36005012901.0,0.0,0.0013464478105496185,2.8907816634034778e-05,0.007924994611341838,88
36005013000.0,36005013000.0,0.0,0.0004260646713418756,1.5814040954885783e-06,0.0029780470460144554,54
36005013100.0,36005013100.0,0.0,0.0007457019511515442,1.1042948744977527e-05,0.004742490228185688,137
36005013200.0,36005013200.0,0.0,0.0008769939309061095,2.8289564320419792e-06,0.006489236165048889,79
36005013300.0,36005013300.0,0.0,0.0013512847687058714,2.453383217662914e-05,0.00777916622376483,139
36005013500.0,36005013500.0,0.0,0.0007460204146908385,8.162939164089407e-06,0.004747995965828439,94
36005014400.0,36005014400.0,0.0,0.0016090510053418242,1.1861728069706924e-05,0.010917944328895117,165
36005014900.0,36005014900.0,0.0,0.0004879749299009073,8.537556174469747e-06,0.002811337640362552,112
36005015200.0,36005015200.0,0.0,0.00018704356582212775,1.867365181728649e-06,0.0012188352681906276,275
36005015300.0,36005015300.0,0.0,0.0006806092272874882,9.747201561483519e-06,0.004161771603513128,189
36005015800.0,36005015800.0,0.0,0.001035858527911152,5.664255675859801e-06,0.007345001347980102,140
36005016000.0,36005016000.0,0.0,0.0020919148475596473,1.9627362922226502e-05,0.013534451344930832,206
36005016200.0,36005016200.0,0.0,0.0011653776333366622,7.2102180340603935e-06,0.008313799482842586,68
36005016400.0,36005016400.0,0.0,0.0004339432314371166,4.291695481685216e-06,0.0028488067342859187,96
36005017100.0,36005017100.0,0.0,0.003925432871166911,5.196072122287953e-05,0.02439161512341265,19
36005017500.0,36005017500.0,0.0,0.004209869024856787,7.727135159060814e-05,0.024121412797181843,127
36005017901.0,36005017901.0,0.0,0.0006681953449581811,7.4285232537179405e-06,0.004545761735069238,49
36005017902.0,36005017902.0,0.018518518518518517,0.0033050791363944585,9.500317588826964e-06,0.026430987187273096,54
36005018101.0,36005018101.0,0.0,0.0013831882887265414,1.4240529495991768e-05,0.009409924986310839,67
36005018102.0,36005018102.0,0.0,0.0003906230088855492,2.769951799703047e-06,0.0026800365231971083,137
36005018302.0,36005018302.0,0.0,0.0007305307388792892,1.4133925495872614e-05,0.004353483266112607,107
36005018400.0,36005018400.0,0.0,0.0005295542117818131,3.100828495991202e-06,0.003785723730228191,238
36005019700.0,36005019700.0,0.0,0.0006745781924215611,1.5164862710163613e-05,0.003919515689526399,151
36005020200.0,36005020200.0,0.0,0.0013811070597760206,4.407696241559712e-06,0.010673750198261134,76
36005020400.0,36005020400.0,0.0045662100456621,0.0005199780118344408,8.709488285404947e-06,0.0033053433960180695,219
36005020601.0,36005020601.0,0.0,0.002053254224072011,2.9066721546766623e-05,0.013275175188544607,107
36005020900.0,36005020900.0,0.0,0.0009821509050352267,1.5858130470934183e-05,0.006023891303194553,153
36005021002.0,36005021002.0,0.0,0.0015700545384489603,1.7122093378820562e-05,0.009953112238169259,221
36005021301.0,36005021301.0,0.0,0.000253927547644863,4.054054143980621e-06,0.0015501798900350561,183
36005021302.0,36005021302.0,0.0,0.0008676006723952657,1.6434273635697836e-05,0.0050788019014233006,248
36005021501.0,36005021501.0,0.014285714285714285,0.0006322608293076773,3.897540449817299e-06,0.004345534079218184,70
36005021800.0,36005021800.0,0.0010976948408342481,0.004408125797180099,0.00032948008066486584,0.01563099335035495,911
36005021900.0,36005021900.0,0.0,0.0010812434943992244,1.2781294750501816e-05,0.006778324546358626,105
36005022101.0,36005022101.0,0.0,0.001189568264801835,1.8788449184693581e-06,0.008784197799993608,49
36005022102.0,36005022102.0,0.0,0.0012285111350599936,5.237466709582503e-06,0.009052586607384821,80
36005022300.0,36005022300.0,0.0,0.0008648457757235878,3.1127506589967477e-06,0.006235063190169401,100
36005022403.0,36005022403.0,0.0,0.0008134670727366928,1.928857795997312e-05,0.0046114699402084,243
36005022404.0,36005022404.0,0.014285714285714285,0.005693141635068122,1.1149915040102857e-05,0.04322650370655478,70
36005022500.0,36005022500.0,0.012658227848101266,0.007792646259301176,3.052533162306299e-05,0.047354618096893446,158
36005022702.0,36005022702.0,0.0,0.0009271683699756976,1.4622956608346125e-05,0.005574054419941196,219
36005022703.0,36005022703.0,0.0078125,0.0003225868306794824,1.3077780367046918e-06,0.0023517340873438794,128
36005022800.0,36005022800.0,0.0,0.0014161838003252387,2.0117868232511417e-05,0.008727790816261679,152
36005022902.0,36005022902.0,0.0,0.000177229170145647,2.0488273860706013e-06,0.0011294433118951516,194
36005023200.0,36005023200.0,0.0,0.001607648250384726,1.596017250838639e-05,0.010251155530195875,137
36005023301.0,36005023301.0,0.0,0.0003000057965865669,3.281146256353059e-06,0.001887611285560156,105
36005023600.0,36005023600.0,0.0,0.0015755556580392782,1.9177266216000768e-05,0.009777027963872599,63
36005023704.0,36005023704.0,0.0,0.0004158416635803187,3.0747228335747297e-06,0.0028299420539080033,64
36005023900.0,36005023900.0,0.0,0.00029957269397481594,3.7350186237450287e-06,0.0019079243786236317,117
36005024100.0,36005024100.0,0.0,0.0007491548396839639,1.3066183427035054e-05,0.004384473083147859,153
36005024300.0,36005024300.0,0.0,0.0012433545577834723,1.9898290448956446e-05,0.007523433668452564,113
36005024400.0,36005024400.0,0.0,0.000981006369686983,1.9507305811846676e-05,0.005789439287038258,127
36005024501.0,36005024501.0,0.0,0.0003293993495106041,6.518677287611839e-06,0.0019225441291414926,98
36005024502.0,36005024502.0,0.0,0.0008673193159286739,5.781583216140084e-06,0.006170444477166571,62
36005024600.0,36005024600.0,0.0,0.0011315830423620898,2.496378351488314e-05,0.006583476747115579,75
36005024800.0,36005024800.0,0.0,0.0010462408125792,2.5318514465664802e-05,0.005905586184399234,275
36005024900.0,36005024900.0,0.0,0.001449569507769555,1.513727456921477e-05,0.009510360152989401,57
36005025000.0,36005025000.0,0.0,0.0014515691472672054,2.0578478578443278e-05,0.009180948545903775,123
36005025100.0,36005025100.0,0.0,0.0003302756081506758,4.3988805309270986e-06,0.0020940580257813746,155
36005025200.0,36005025200.0,0.0,0.003659596437068859,7.164396037227645e-05,0.02163942504084652,109
36005025300.0,36005025300.0,0.0,0.0007149447832456633,8.040136212650948e-06,0.004588668916909658,101
36005025400.0,36005025400.0,0.0,0.0014129426269083286,8.117857120481812e-06,0.009622340532799417,106
36005026500.0,36005026500.0,0.0,0.0005005493365001128,1.5116148032383715e-05,0.0027112438511886837,216
36005026601.0,36005026601.0,0.012195121951219513,0.010632924894552292,1.7516658393928847e-05,0.07275222458302094,82
36005026602.0,36005026602.0,0.00558659217877095,0.0007008273701417624,7.023798534354384e-06,0.004778943920826031,179
36005026701.0,36005026701.0,0.0,0.0006806260576427887,7.492506847098563e-06,0.004393772785460647,85
36005026702.0,36005026702.0,0.0,0.0032188437353381986,4.7742145702983436e-05,0.018923680232908354,99
36005027300.0,36005027300.0,0.0,0.0025154495857234744,0.00010773038904847005,0.012141122095055494,350
36005027700.0,36005027700.0,0.003236245954692557,0.0071321545577521985,0.0001818897151924802,0.03213054729495563,309
36005027900.0,36005027900.0,0.0,0.004195488881650352,0.0001340641914179192,0.01983978137946978,342
36005028600.0,36005028600.0,0.0,0.0014416587565473623,2.202181778554954e-05,0.009095039847951646,92
36005028700.0,36005028700.0,0.0,0.01039797176629417,0.00020575631452805844,0.05639605310911543,73
36005028800.0,36005028800.0,0.0,0.0007268982929847358,1.4370952450377495e-05,0.004510576770730394,35
36005029600.0,36005029600.0,0.002176278563656148,0.0046863768040122196,0.00046930447515667066,0.016206341130739425,919
36005030000.0,36005030000.0,0.0,0.002903173413462265,1.9022555429468147e-05,0.018856030482314552,178
36005030100.0,36005030100.0,0.0,0.0032605298491565336,1.8638262176642433e-05,0.022699469740721418,45
36005030201.0,36005030201.0,0.0,0.0013785782989829145,1.8033910659364156e-05,0.008343356674733368,327
36005030701.0,36005030701.0,0.0,0.0021871912628100435,3.2971259724827135e-05,0.013446154548253625,65
