                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y_hat_1_given_y_1                        0.227  0.080   0.111    0.380      0.001    0.001    3353.0    5349.0   1.00
p_y_hat_1_given_y_0                        0.000  0.000   0.000    0.001      0.000    0.000    5520.0    8266.0   1.00
p_y[0]                                     0.060  0.234   0.000    0.456      0.004    0.008     462.0    2108.0   1.01
p_y[1]                                     0.002  0.004   0.000    0.007      0.000    0.000    5716.0    6903.0   1.00
p_y[2]                                     0.008  0.007   0.000    0.021      0.000    0.000    6117.0    5342.0   1.00
p_y[3]                                     0.001  0.002   0.000    0.003      0.000    0.000    4875.0    5484.0   1.00
p_y[4]                                     0.000  0.000   0.000    0.000      0.000    0.000    4573.0    7835.0   1.00
p_y[5]                                     0.000  0.000   0.000    0.001      0.000    0.000    4402.0    6756.0   1.00
p_y[6]                                     0.000  0.001   0.000    0.001      0.000    0.000    3315.0    5891.0   1.00
p_y[7]                                     0.001  0.001   0.000    0.002      0.000    0.000    4341.0    7138.0   1.00
p_y[8]                                     0.001  0.003   0.000    0.004      0.000    0.000    4924.0    8439.0   1.00
p_y[9]                                     0.001  0.002   0.000    0.003      0.000    0.000    4970.0    7107.0   1.00
p_y[10]                                    0.001  0.001   0.000    0.002      0.000    0.000    5276.0    8771.0   1.00
p_y[11]                                    0.000  0.001   0.000    0.001      0.000    0.000    3142.0    6051.0   1.00
p_y[12]                                    0.001  0.001   0.000    0.003      0.000    0.000    4977.0    6774.0   1.00
p_y[13]                                    0.000  0.001   0.000    0.001      0.000    0.000    4042.0    7172.0   1.00
p_y[14]                                    0.000  0.000   0.000    0.000      0.000    0.000    3192.0    5359.0   1.00
p_y[15]                                    0.000  0.001   0.000    0.001      0.000    0.000    2851.0    4644.0   1.00
p_y[16]                                    0.000  0.001   0.000    0.002      0.000    0.000    4374.0    7600.0   1.00
p_y[17]                                    0.002  0.003   0.000    0.007      0.000    0.000    4664.0    6950.0   1.00
p_y[18]                                    0.000  0.000   0.000    0.001      0.000    0.000    3820.0    7280.0   1.00
p_y[19]                                    0.000  0.000   0.000    0.000      0.000    0.000    3517.0    6737.0   1.00
p_y[20]                                    0.000  0.000   0.000    0.001      0.000    0.000    4597.0    7129.0   1.00
p_y[21]                                    0.000  0.000   0.000    0.001      0.000    0.000    3106.0    4371.0   1.00
p_y[22]                                    0.001  0.001   0.000    0.002      0.000    0.000    4369.0    7083.0   1.00
p_y[23]                                    0.000  0.000   0.000    0.001      0.000    0.000    3506.0    6805.0   1.00
p_y[24]                                    0.000  0.001   0.000    0.002      0.000    0.000    3804.0    6799.0   1.00
p_y[25]                                    0.000  0.000   0.000    0.001      0.000    0.000    3302.0    5964.0   1.00
p_y[26]                                    0.000  0.000   0.000    0.000      0.000    0.000    2788.0    5710.0   1.00
p_y[27]                                    0.000  0.000   0.000    0.000      0.000    0.000    3456.0    6694.0   1.00
p_y[28]                                    0.000  0.001   0.000    0.001      0.000    0.000    3565.0    7147.0   1.00
p_y[29]                                    0.000  0.001   0.000    0.001      0.000    0.000    4005.0    6691.0   1.00
p_y[30]                                    0.000  0.000   0.000    0.000      0.000    0.000    4492.0    7239.0   1.00
p_y[31]                                    0.000  0.000   0.000    0.001      0.000    0.000    3174.0    5926.0   1.00
p_y[32]                                    0.001  0.002   0.000    0.004      0.000    0.000    4762.0    6435.0   1.00
p_y[33]                                    0.001  0.002   0.000    0.003      0.000    0.000    4448.0    5738.0   1.00
p_y[34]                                    0.000  0.000   0.000    0.000      0.000    0.000    4437.0    8219.0   1.00
p_y[35]                                    0.000  0.000   0.000    0.001      0.000    0.000    3637.0    6551.0   1.00
p_y[36]                                    0.000  0.000   0.000    0.000      0.000    0.000    4278.0    8103.0   1.00
p_y[37]                                    0.000  0.000   0.000    0.000      0.000    0.000    3604.0    7398.0   1.00
p_y[38]                                    0.001  0.002   0.000    0.003      0.000    0.000    4852.0    8262.0   1.00
p_y[39]                                    0.001  0.002   0.000    0.004      0.000    0.000    4456.0    6841.0   1.00
p_y[40]                                    0.000  0.000   0.000    0.001      0.000    0.000    3173.0    5028.0   1.00
p_y[41]                                    0.001  0.002   0.000    0.004      0.000    0.000    4555.0    5883.0   1.00
p_y[42]                                    0.000  0.000   0.000    0.000      0.000    0.000    2829.0    6085.0   1.00
p_y[43]                                    0.002  0.002   0.000    0.005      0.000    0.000    4936.0    4755.0   1.00
p_y[44]                                    0.000  0.001   0.000    0.001      0.000    0.000    2944.0    5038.0   1.00
p_y[45]                                    0.002  0.003   0.000    0.006      0.000    0.000    4324.0    7539.0   1.00
p_y[46]                                    0.001  0.001   0.000    0.002      0.000    0.000    5073.0    8017.0   1.00
p_y[47]                                    0.000  0.000   0.000    0.001      0.000    0.000    4190.0    7625.0   1.00
p_y[48]                                    0.001  0.001   0.000    0.002      0.000    0.000    2887.0    5583.0   1.00
p_y[49]                                    0.000  0.001   0.000    0.002      0.000    0.000    5155.0    6918.0   1.00
p_y[50]                                    0.000  0.001   0.000    0.002      0.000    0.000    2484.0    6800.0   1.00
p_y[51]                                    0.000  0.001   0.000    0.002      0.000    0.000    4547.0    7655.0   1.00
p_y[52]                                    0.000  0.001   0.000    0.001      0.000    0.000    3030.0    5530.0   1.00
p_y[53]                                    0.000  0.001   0.000    0.001      0.000    0.000    4322.0    7303.0   1.00
p_y[54]                                    0.016  0.011   0.000    0.035      0.000    0.000    6008.0    5253.0   1.00
p_y[55]                                    0.000  0.001   0.000    0.001      0.000    0.000    2434.0    5420.0   1.00
p_y[56]                                    0.002  0.004   0.000    0.008      0.000    0.000    3706.0    5655.0   1.00
p_y[57]                                    0.001  0.001   0.000    0.002      0.000    0.000    2779.0    5123.0   1.00
p_y[58]                                    0.000  0.000   0.000    0.001      0.000    0.000    2986.0    6183.0   1.00
p_y[59]                                    0.002  0.004   0.000    0.007      0.000    0.000    2842.0    6138.0   1.00
p_y[60]                                    0.000  0.001   0.000    0.002      0.000    0.000    3333.0    6957.0   1.00
p_y[61]                                    0.002  0.005   0.000    0.009      0.000    0.000    2919.0    6738.0   1.00
p_y[62]                                    0.000  0.000   0.000    0.001      0.000    0.000    4028.0    7604.0   1.00
p_y[63]                                    0.001  0.002   0.000    0.003      0.000    0.000    4550.0    5704.0   1.00
p_y[64]                                    0.002  0.003   0.000    0.006      0.000    0.000    3142.0    7142.0   1.00
